               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  44,            0.095169,             0.17765,                   0,                   0,                   0,                   0,                   0,                   0,            0.075799,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.098093,             0.29269,                   0,                   0,                   0,                   0,                   0,                   0,            0.075799,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.088245,             0.18049,                   0,                   0,                   0,                   0,                   0,                   0,            0.075799,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.097436,              0.2328,                   0,                   0,                   0,                   0,                   0,                   0,            0.075799,                   0,            0.005446,            0.005446,            0.005446
                  48,             0.10005,             0.16512,                   0,                   0,                   0,                   0,                   0,                   0,            0.093656,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.098344,             0.19252,                   0,                   0,                   0,                   0,                   0,                   0,            0.093656,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.096306,             0.14639,                   0,                   0,                   0,                   0,                   0,                   0,            0.093656,                   0,            0.005149,            0.005149,            0.005149
                  51,             0.10042,             0.24518,                   0,                   0,                   0,                   0,                   0,                   0,            0.093656,                   0,             0.00505,             0.00505,             0.00505
                  52,             0.09661,             0.19068,                   0,                   0,                   0,                   0,                   0,                   0,            0.090354,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.095267,             0.31515,                   0,                   0,                   0,                   0,                   0,                   0,            0.090354,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.093116,             0.22705,                   0,                   0,                   0,                   0,                   0,                   0,            0.090354,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.097232,             0.21445,                   0,                   0,                   0,                   0,                   0,                   0,            0.090354,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.093017,             0.20146,                   0,                   0,                   0,                   0,                   0,                   0,            0.076092,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.090561,             0.20186,                   0,                   0,                   0,                   0,                   0,                   0,            0.076092,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.091824,              0.2398,                   0,                   0,                   0,                   0,                   0,                   0,            0.076092,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.096545,             0.20203,                   0,                   0,                   0,                   0,                   0,                   0,            0.076092,                   0,            0.004258,            0.004258,            0.004258
