               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12248,             0.34211,                   0,           0.0033333,           0.0046948,           0.0016886,          0.00059002,             0.11958,             0.46294,                   0,              0.0982,              0.0002,              0.0002
                   1,             0.12148,             0.32159,                   0,           0.0066667,           0.0093897,           0.0033729,             0.00118,             0.11887,             0.46714,                   0,            0.095495,          0.00049505,          0.00049505
                   2,             0.12023,             0.35497,                   0,                0.01,            0.014085,           0.0050873,           0.0014408,             0.11816,             0.47009,                   0,            0.092784,          0.00078416,          0.00078416
                   3,             0.12251,              0.3342,                   0,            0.011667,            0.016432,           0.0060529,           0.0012879,             0.11742,             0.47427,                   0,            0.090067,           0.0010673,           0.0010673
                   4,             0.11808,             0.30023,                   0,            0.018333,            0.025822,           0.0096715,           0.0024201,             0.11645,             0.48096,                   0,            0.087345,           0.0013446,           0.0013446
                   5,              0.1193,             0.37251,                   0,            0.016667,            0.023474,           0.0094179,            0.002267,             0.11561,             0.48251,                   0,            0.084616,           0.0016158,           0.0016158
                   6,             0.11858,             0.36329,                   0,            0.028333,            0.039906,            0.017295,           0.0042789,             0.11463,             0.48544,                   0,            0.081881,           0.0018812,           0.0018812
                   7,             0.11743,             0.34198,                   0,            0.046667,            0.065728,            0.028022,           0.0067473,              0.1163,             0.44854,                   0,            0.079141,           0.0021406,           0.0021406
                   8,             0.12111,             0.34913,                   0,            0.048333,            0.068075,            0.029978,           0.0058606,             0.11637,             0.43693,                   0,            0.076394,           0.0023941,           0.0023941
                   9,             0.11767,             0.33115,                   0,               0.065,            0.091549,            0.038425,           0.0088496,             0.11568,             0.42025,                   0,            0.073642,           0.0026416,           0.0026416
                  10,             0.11591,             0.39465,                   0,               0.065,            0.091549,            0.038425,           0.0088496,             0.11568,             0.42025,                   0,            0.070883,           0.0028832,           0.0028832
                  11,             0.11455,             0.36507,                   0,            0.053333,            0.075117,            0.029116,           0.0055018,             0.11126,             0.44826,                   0,            0.068119,           0.0031189,           0.0031189
                  12,             0.11373,             0.39732,                   0,            0.053333,            0.075117,            0.029116,           0.0055018,             0.11126,             0.44826,                   0,            0.065349,           0.0033486,           0.0033486
                  13,             0.11386,             0.33734,                   0,                0.06,            0.084507,            0.034679,           0.0086473,             0.10539,             0.48904,                   0,            0.062572,           0.0035723,           0.0035723
                  14,             0.11545,             0.36247,                   0,                0.06,            0.084507,            0.034679,           0.0086473,             0.10539,             0.48904,                   0,             0.05979,           0.0037902,           0.0037902
                  15,             0.11602,             0.30173,                   0,               0.095,              0.1338,            0.061522,            0.014177,             0.10387,             0.49499,                   0,            0.057002,           0.0040021,           0.0040021
                  16,             0.11098,             0.26525,                   0,               0.095,              0.1338,            0.061522,            0.014177,             0.10387,             0.49499,                   0,            0.054208,            0.004208,            0.004208
                  17,             0.11525,             0.28514,                   0,             0.10333,             0.14554,            0.071876,            0.017635,            0.099625,             0.51831,                   0,            0.051408,            0.004408,            0.004408
                  18,             0.11182,             0.39579,                   0,             0.10333,             0.14554,            0.071876,            0.017635,            0.099625,             0.51831,                   0,            0.048602,           0.0046021,           0.0046021
                  19,             0.10873,             0.30349,                   0,             0.10333,             0.14554,            0.071876,            0.017635,            0.099625,             0.51831,                   0,             0.04579,           0.0047902,           0.0047902
                  20,             0.11355,             0.38788,                   0,             0.10167,             0.14319,            0.069056,            0.018223,            0.099805,             0.51074,                   0,            0.042972,           0.0049724,           0.0049724
                  21,              0.1104,             0.35629,                   0,             0.10167,             0.14319,            0.069056,            0.018223,            0.099805,             0.51074,                   0,            0.040149,           0.0051487,           0.0051487
                  22,             0.11192,             0.33734,                   0,             0.10167,             0.14319,            0.069056,            0.018223,            0.099805,             0.51074,                   0,            0.037319,            0.005319,            0.005319
                  23,             0.11152,             0.34747,                   0,             0.10167,             0.14319,            0.069103,            0.018343,            0.098839,             0.51499,                   0,            0.034483,           0.0054833,           0.0054833
                  24,             0.10634,             0.40474,                   0,             0.10167,             0.14319,            0.069103,            0.018343,            0.098839,             0.51499,                   0,            0.031642,           0.0056418,           0.0056418
                  25,             0.10858,             0.30389,                   0,             0.10167,             0.14319,            0.069103,            0.018343,            0.098839,             0.51499,                   0,            0.028794,           0.0057942,           0.0057942
                  26,             0.10451,             0.31427,                   0,             0.10333,             0.14554,            0.069857,            0.015391,            0.098195,             0.51511,                   0,            0.025941,           0.0059408,           0.0059408
                  27,             0.10545,             0.36743,                   0,             0.10333,             0.14554,            0.069857,            0.015391,            0.098195,             0.51511,                   0,            0.023081,           0.0060814,           0.0060814
                  28,              0.1054,             0.34813,                   0,             0.10333,             0.14554,            0.069857,            0.015391,            0.098195,             0.51511,                   0,            0.020216,           0.0062161,           0.0062161
                  29,             0.10483,              0.3227,                   0,             0.10333,             0.14554,            0.069857,            0.015391,            0.098195,             0.51511,                   0,            0.017345,           0.0063448,           0.0063448
                  30,             0.10572,              0.3107,                   0,                0.09,             0.19014,            0.062017,            0.013011,             0.10238,             0.45286,                   0,            0.014468,           0.0064676,           0.0064676
                  31,              0.1107,             0.29365,                   0,                0.09,             0.19014,            0.062017,            0.013011,             0.10238,             0.45286,                   0,            0.011584,           0.0065844,           0.0065844
                  32,             0.10444,             0.37818,                   0,                0.09,             0.19014,            0.062017,            0.013011,             0.10238,             0.45286,                   0,           0.0086954,           0.0066954,           0.0066954
                  33,             0.10103,             0.37643,                   0,                0.09,             0.19014,            0.062017,            0.013011,             0.10238,             0.45286,                   0,            0.006733,            0.006733,            0.006733
                  34,             0.10295,             0.34309,                   0,                0.09,             0.19014,            0.062017,            0.013011,             0.10238,             0.45286,                   0,            0.006733,            0.006733,            0.006733
                  35,             0.10604,             0.32058,                   0,            0.078889,             0.16667,            0.058397,            0.014805,             0.10113,             0.46342,                   0,            0.006634,            0.006634,            0.006634
                  36,             0.10491,             0.45937,                   0,            0.078889,             0.16667,            0.058397,            0.014805,             0.10113,             0.46342,                   0,            0.006535,            0.006535,            0.006535
                  37,             0.10152,             0.32122,                   0,            0.078889,             0.16667,            0.058397,            0.014805,             0.10113,             0.46342,                   0,            0.006436,            0.006436,            0.006436
                  38,             0.10102,             0.43059,                   0,            0.078889,             0.16667,            0.058397,            0.014805,             0.10113,             0.46342,                   0,            0.006337,            0.006337,            0.006337
                  39,             0.10164,             0.30888,                   0,            0.086667,              0.1831,            0.056331,            0.013706,             0.10138,             0.46621,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.10337,             0.40514,                   0,            0.086667,              0.1831,            0.056331,            0.013706,             0.10138,             0.46621,                   0,            0.006139,            0.006139,            0.006139
                  41,              0.1014,             0.33815,                   0,            0.086667,              0.1831,            0.056331,            0.013706,             0.10138,             0.46621,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.097515,             0.31357,                   0,            0.086667,              0.1831,            0.056331,            0.013706,             0.10138,             0.46621,                   0,            0.005941,            0.005941,            0.005941
                  43,             0.10015,             0.27757,                   0,            0.096667,             0.20423,            0.066367,            0.014715,             0.10277,             0.47311,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.098544,             0.31858,                   0,            0.096667,             0.20423,            0.066367,            0.014715,             0.10277,             0.47311,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.098735,             0.35872,                   0,            0.096667,             0.20423,            0.066367,            0.014715,             0.10277,             0.47311,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.098908,             0.29171,                   0,            0.096667,             0.20423,            0.066367,            0.014715,             0.10277,             0.47311,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.092955,              0.3033,                   0,            0.096667,             0.20423,            0.066367,            0.014715,             0.10277,             0.47311,                   0,            0.005446,            0.005446,            0.005446
                  48,             0.10482,             0.44452,                   0,            0.085556,             0.18075,            0.063224,            0.016503,             0.10105,             0.48653,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.10187,             0.35373,                   0,            0.085556,             0.18075,            0.063224,            0.016503,             0.10105,             0.48653,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.10121,             0.39053,                   0,            0.085556,             0.18075,            0.063224,            0.016503,             0.10105,             0.48653,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.095035,             0.31118,                   0,            0.085556,             0.18075,            0.063224,            0.016503,             0.10105,             0.48653,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.098755,             0.37847,                   0,            0.095556,             0.20188,            0.065722,            0.016079,             0.10192,              0.4552,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.098745,             0.38587,                   0,            0.095556,             0.20188,            0.065722,            0.016079,             0.10192,              0.4552,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.098235,             0.35631,                   0,            0.095556,             0.20188,            0.065722,            0.016079,             0.10192,              0.4552,                   0,            0.004753,            0.004753,            0.004753
                  55,             0.09555,             0.33259,                   0,            0.095556,             0.20188,            0.065722,            0.016079,             0.10192,              0.4552,                   0,            0.004654,            0.004654,            0.004654
                  56,                 0.1,             0.52145,                   0,             0.14449,             0.21127,            0.086189,            0.022417,            0.099632,             0.46211,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.099171,             0.44081,                   0,             0.14449,             0.21127,            0.086189,            0.022417,            0.099632,             0.46211,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.095682,             0.43557,                   0,             0.14449,             0.21127,            0.086189,            0.022417,            0.099632,             0.46211,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.095152,             0.38677,                   0,             0.14449,             0.21127,            0.086189,            0.022417,            0.099632,             0.46211,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.091324,             0.31802,                   0,             0.14449,             0.21127,            0.086189,            0.022417,            0.099632,             0.46211,                   0,            0.004159,            0.004159,            0.004159
                  61,             0.09336,             0.39479,                   0,             0.15798,             0.32629,             0.12148,            0.028669,            0.098518,             0.46637,                   0,             0.00406,             0.00406,             0.00406
                  62,             0.10041,             0.43326,                   0,             0.15798,             0.32629,             0.12148,            0.028669,            0.098518,             0.46637,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.096341,             0.38065,                   0,             0.15798,             0.32629,             0.12148,            0.028669,            0.098518,             0.46637,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.099801,             0.37933,                   0,             0.15798,             0.32629,             0.12148,            0.028669,            0.098518,             0.46637,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.094167,             0.40206,                   0,             0.19989,             0.21362,             0.13645,            0.031568,            0.097749,             0.45891,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.091472,             0.41495,                   0,             0.19989,             0.21362,             0.13645,            0.031568,            0.097749,             0.45891,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.095393,             0.40092,                   0,             0.19989,             0.21362,             0.13645,            0.031568,            0.097749,             0.45891,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.091368,             0.27559,                   0,             0.19989,             0.21362,             0.13645,            0.031568,            0.097749,             0.45891,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.091927,             0.33217,                   0,             0.26754,             0.23239,              0.1692,            0.035275,            0.094135,             0.48348,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.092617,             0.39155,                   0,             0.26754,             0.23239,              0.1692,            0.035275,            0.094135,             0.48348,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.090334,             0.37648,                   0,             0.26754,             0.23239,              0.1692,            0.035275,            0.094135,             0.48348,                   0,             0.00307,             0.00307,             0.00307
                  72,             0.09721,             0.40536,                   0,             0.26754,             0.23239,              0.1692,            0.035275,            0.094135,             0.48348,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.090517,             0.37871,                   0,             0.26754,             0.23239,              0.1692,            0.035275,            0.094135,             0.48348,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.093443,             0.37513,                   0,             0.17819,             0.35915,             0.15869,            0.036878,            0.092308,             0.50036,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.10028,              0.5076,                   0,             0.17819,             0.35915,             0.15869,            0.036878,            0.092308,             0.50036,                   0,            0.002674,            0.002674,            0.002674
