['x', 'y', 'a', 'b']
[3194, 703, 3271, 870]
[3232, 703, 3309, 869]
[3270, 703, 3347, 869]
[3308, 703, 3385, 869]
[3346, 702, 3423, 868]
[3384, 702, 3461, 868]
[3422, 703, 3499, 866]
[192, 900, 269, 1064]
[230, 900, 307, 1064]
[268, 902, 345, 1065]
[306, 902, 383, 1065]
[344, 902, 421, 1066]
[382, 902, 459, 1066]
[420, 902, 497, 1066]
[458, 903, 535, 1066]
[496, 903, 573, 1068]
[534, 904, 611, 1069]
[572, 904, 649, 1069]
[610, 904, 687, 1070]
[648, 904, 725, 1070]
[686, 905, 763, 1071]
[724, 905, 801, 1071]
[762, 905, 839, 1071]
[800, 907, 877, 1073]
[838, 907, 915, 1074]
[876, 908, 953, 1074]
[914, 908, 991, 1075]
[952, 908, 1029, 1075]
[990, 908, 1067, 1075]
[1028, 909, 1105, 1075]
[1066, 909, 1143, 1076]
[1104, 910, 1181, 1078]
[1142, 910, 1219, 1078]
[1180, 910, 1257, 1078]
[1218, 910, 1295, 1078]
[1256, 910, 1333, 1079]
[1294, 910, 1371, 1080]
[1332, 912, 1409, 1080]
[1370, 913, 1447, 1080]
[1408, 913, 1485, 1080]
[1446, 913, 1523, 1081]
[1484, 913, 1561, 1081]
[1522, 914, 1599, 1083]
[1560, 914, 1637, 1083]
[1598, 914, 1675, 1083]
[1636, 915, 1713, 1084]
[1674, 915, 1751, 1084]
[1712, 917, 1789, 1084]
[1750, 917, 1827, 1085]
[1788, 917, 1865, 1085]
[1826, 917, 1903, 1086]
[1864, 917, 1941, 1086]
[1902, 918, 1979, 1086]
[1940, 918, 2017, 1086]
[1978, 919, 2055, 1088]
[2016, 919, 2093, 1088]
[2054, 919, 2131, 1089]
[2092, 919, 2169, 1089]
[2130, 921, 2207, 1089]
[2168, 921, 2245, 1089]
[2206, 921, 2283, 1090]
[2244, 922, 2321, 1090]
[2282, 922, 2359, 1090]
[2320, 922, 2397, 1090]
[2358, 923, 2435, 1090]
[2396, 923, 2473, 1091]
[2434, 923, 2511, 1091]
[2472, 923, 2549, 1091]
[2510, 923, 2587, 1091]
[2548, 923, 2625, 1091]
[2586, 923, 2663, 1091]
[2624, 923, 2701, 1091]
