['x', 'y', 'a', 'b']
[327, 233, 491.5, 383]
[491.5, 233, 656, 383]
[491, 233, 655.5, 383]
[655.5, 233, 820, 383]
[655, 233, 819.5, 383]
[819.5, 233, 984, 383]
[819, 234, 983.5, 384]
[983.5, 234, 1148, 384]
[983, 234, 1147.5, 384]
[1147.5, 234, 1312, 384]
[1147, 234, 1311.5, 385]
[1311.5, 234, 1476, 385]
[1311, 235, 1475.5, 385]
[1475.5, 235, 1640, 385]
[1475, 235, 1639.5, 385]
[1639.5, 235, 1804, 385]
[1639, 235, 1803.5, 385]
[1803.5, 235, 1968, 385]
[1803, 235, 1967.5, 386]
[1967.5, 235, 2132, 386]
[1967, 236, 2131.5, 386]
[2131.5, 236, 2296, 386]
[2131, 237, 2295.5, 387]
[2295.5, 237, 2460, 387]
[2295, 237, 2459.5, 387]
[2459.5, 237, 2624, 387]
[2459, 237, 2623.5, 388]
[2623.5, 237, 2788, 388]
[2623, 238, 2787.5, 389]
[2787.5, 238, 2952, 389]
[2787, 239, 2951.5, 389]
[2951.5, 239, 3116, 389]
[2951, 239, 3115.5, 391]
[3115.5, 239, 3280, 391]
[3115, 241, 3279.5, 392]
[3279.5, 241, 3444, 392]
[3279, 242, 3443.5, 392]
[3443.5, 242, 3608, 392]
[327, 466, 491.5, 618]
[491.5, 466, 656, 618]
[491, 467, 655.5, 619]
[655.5, 467, 820, 619]
[655, 467, 819.5, 619]
[819.5, 467, 984, 619]
[819, 468, 983.5, 619]
[983.5, 468, 1148, 619]
[983, 468, 1147.5, 620]
[1147.5, 468, 1312, 620]
[1147, 468, 1311.5, 620]
[1311.5, 468, 1476, 620]
[1311, 468, 1475.5, 620]
[1475.5, 468, 1640, 620]
[1475, 469, 1639.5, 621]
[1639.5, 469, 1804, 621]
[1639, 470, 1803.5, 622]
[1803.5, 470, 1968, 622]
[1803, 470, 1967.5, 622]
[1967.5, 470, 2132, 622]
[1967, 470, 2131.5, 622]
[2131.5, 470, 2296, 622]
[2131, 471, 2295.5, 623]
[2295.5, 471, 2460, 623]
[2295, 471, 2459.5, 623]
[2459.5, 471, 2624, 623]
[2459, 472, 2623.5, 624]
[2623.5, 472, 2788, 624]
[2623, 472, 2787.5, 624]
[2787.5, 472, 2952, 624]
[2787, 473, 2951.5, 625]
[2951.5, 473, 3116, 625]
[2951, 473, 3115.5, 626]
[3115.5, 473, 3280, 626]
[3115, 474, 3279.5, 627]
[3279.5, 474, 3444, 627]
[3279, 475, 3443.5, 627]
[3443.5, 475, 3608, 627]
[327, 702, 491.5, 854]
[491.5, 702, 656, 854]
[491, 703, 655.5, 855]
[655.5, 703, 820, 855]
[655, 703, 819.5, 855]
[819.5, 703, 984, 855]
[819, 704, 983.5, 856]
[983.5, 704, 1148, 856]
[983, 704, 1147.5, 857]
[1147.5, 704, 1312, 857]
[1147, 704, 1311.5, 857]
[1311.5, 704, 1476, 857]
[1311, 705, 1475.5, 857]
[1475.5, 705, 1640, 857]
[1475, 705, 1639.5, 857]
[1639.5, 705, 1804, 857]
[1639, 705, 1803.5, 858]
[1803.5, 705, 1968, 858]
[1803, 706, 1967.5, 860]
[1967.5, 706, 2132, 860]
[1967, 707, 2131.5, 860]
[2131.5, 707, 2296, 860]
[2131, 708, 2295.5, 860]
[2295.5, 708, 2460, 860]
[2295, 708, 2459.5, 860]
[2459.5, 708, 2624, 860]
[2459, 708, 2623.5, 861]
[2623.5, 708, 2788, 861]
[2623, 709, 2787.5, 861]
[2787.5, 709, 2952, 861]
[2787, 709, 2951.5, 862]
[2951.5, 709, 3116, 862]
[2951, 709, 3115.5, 862]
[3115.5, 709, 3280, 862]
[3115, 710, 3279.5, 863]
[3279.5, 710, 3444, 863]
[3279, 711, 3443.5, 863]
[3443.5, 711, 3608, 863]
[327, 938, 491.5, 1088]
[491.5, 938, 656, 1088]
[491, 938, 655.5, 1089]
[655.5, 938, 820, 1089]
[655, 939, 819.5, 1089]
[819.5, 939, 984, 1089]
[819, 940, 983.5, 1090]
[983.5, 940, 1148, 1090]
[983, 941, 1147.5, 1090]
[1147.5, 941, 1312, 1090]
[1147, 941, 1311.5, 1091]
[1311.5, 941, 1476, 1091]
[1311, 941, 1475.5, 1091]
[1475.5, 941, 1640, 1091]
[1475, 942, 1639.5, 1091]
[1639.5, 942, 1804, 1091]
[1639, 942, 1803.5, 1092]
[1803.5, 942, 1968, 1092]
[1803, 942, 1967.5, 1093]
[1967.5, 942, 2132, 1093]
[1967, 943, 2131.5, 1093]
[2131.5, 943, 2296, 1093]
[2131, 943, 2295.5, 1094]
[2295.5, 943, 2460, 1094]
[2295, 944, 2459.5, 1094]
[2459.5, 944, 2624, 1094]
[2459, 945, 2623.5, 1095]
[2623.5, 945, 2788, 1095]
[2623, 945, 2787.5, 1095]
[2787.5, 945, 2952, 1095]
[2787, 946, 2951.5, 1096]
[2951.5, 946, 3116, 1096]
[2951, 946, 3115.5, 1097]
[3115.5, 946, 3280, 1097]
[3115, 946, 3279.5, 1097]
[3279.5, 946, 3444, 1097]
[3279, 947, 3443.5, 1097]
[3443.5, 947, 3608, 1097]
[327, 1171, 491.5, 1322]
[491.5, 1171, 656, 1322]
[491, 1172, 655.5, 1323]
[655.5, 1172, 820, 1323]
[655, 1172, 819.5, 1323]
[819.5, 1172, 984, 1323]
[819, 1172, 983.5, 1324]
[983.5, 1172, 1148, 1324]
[983, 1173, 1147.5, 1324]
[1147.5, 1173, 1312, 1324]
[1147, 1173, 1311.5, 1325]
[1311.5, 1173, 1476, 1325]
[1311, 1174, 1475.5, 1325]
[1475.5, 1174, 1640, 1325]
[1475, 1174, 1639.5, 1326]
[1639.5, 1174, 1804, 1326]
[1639, 1175, 1803.5, 1326]
[1803.5, 1175, 1968, 1326]
[1803, 1176, 1967.5, 1327]
[1967.5, 1176, 2132, 1327]
[1967, 1176, 2131.5, 1328]
[2131.5, 1176, 2296, 1328]
[2131, 1177, 2295.5, 1328]
[2295.5, 1177, 2460, 1328]
[2295, 1177, 2459.5, 1329]
[2459.5, 1177, 2624, 1329]
