['x', 'y', 'a', 'b']
[1802, 1636, 1957, 1813]
[1879, 1636, 2034, 1814]
[1956, 1636, 2111, 1814]
[2033, 1633, 2188, 1814]
[2110, 1633, 2265, 1813]
[2187, 1633, 2342, 1811]
[2264, 1634, 2419, 1811]
[2341, 1634, 2496, 1810]
[2418, 1634, 2573, 1810]
[2495, 1634, 2650, 1810]
[2572, 1634, 2727, 1810]
[2649, 1634, 2804, 1810]
[2726, 1634, 2881, 1810]
[2803, 1634, 2958, 1810]
[2880, 1634, 3035, 1810]
[2957, 1634, 3112, 1811]
[3034, 1634, 3189, 1811]
[3111, 1634, 3266, 1811]
[3188, 1634, 3343, 1810]
[3265, 1634, 3420, 1810]
[3342, 1634, 3497, 1810]
