['x', 'y', 'a', 'b']
[180, 193, 513, 437]
[346, 193, 679, 437]
[512, 193, 845, 437]
[678, 193, 1011, 437]
[844, 193, 1177, 437]
[1010, 193, 1343, 437]
[1176, 193, 1509, 437]
[1342, 193, 1675, 437]
[1508, 193, 1841, 437]
[1674, 193, 2007, 437]
[1840, 193, 2173, 437]
[2006, 193, 2339, 437]
[2172, 193, 2505, 437]
[2338, 193, 2671, 437]
[2504, 193, 2837, 437]
[2670, 193, 3003, 437]
[2836, 193, 3169, 437]
[3002, 193, 3335, 437]
[3168, 193, 3501, 437]
[180, 437, 513, 681]
[346, 437, 679, 681]
[512, 437, 845, 681]
[678, 437, 1011, 681]
[844, 437, 1177, 681]
[1010, 437, 1343, 681]
[1176, 437, 1509, 681]
[1342, 437, 1675, 681]
[1508, 437, 1841, 681]
[1674, 437, 2007, 681]
[1840, 437, 2173, 681]
[2006, 437, 2339, 681]
[2172, 437, 2505, 681]
[2338, 437, 2671, 681]
[2504, 437, 2837, 681]
[2670, 437, 3003, 681]
[2836, 437, 3169, 681]
[3002, 437, 3335, 681]
[3168, 437, 3501, 681]
[180, 681, 513, 925]
[346, 681, 679, 925]
[512, 681, 845, 925]
[678, 681, 1011, 925]
[844, 681, 1177, 925]
[1010, 681, 1343, 925]
[1176, 681, 1509, 925]
[1342, 681, 1675, 925]
[1508, 681, 1841, 925]
[1674, 681, 2007, 925]
[1840, 681, 2173, 925]
[2006, 681, 2339, 925]
[2172, 681, 2505, 925]
[2338, 681, 2671, 925]
[2504, 681, 2837, 925]
[2670, 681, 3003, 925]
[2836, 681, 3169, 925]
[3002, 681, 3335, 925]
[3168, 681, 3501, 925]
[180, 925, 513, 1169]
[346, 925, 679, 1169]
[512, 925, 845, 1169]
[678, 925, 1011, 1169]
[844, 925, 1177, 1169]
[1010, 925, 1343, 1169]
[1176, 925, 1509, 1169]
[1342, 925, 1675, 1169]
[1508, 925, 1841, 1169]
[1674, 925, 2007, 1169]
[1840, 925, 2173, 1169]
[2006, 925, 2339, 1169]
[2172, 925, 2505, 1169]
[2338, 925, 2671, 1169]
[2504, 925, 2837, 1169]
[2670, 925, 3003, 1169]
[2836, 925, 3169, 1169]
[3002, 925, 3335, 1169]
[3168, 925, 3501, 1169]
[180, 1169, 513, 1413]
[346, 1169, 679, 1413]
[512, 1169, 845, 1413]
[678, 1169, 1011, 1413]
[844, 1169, 1177, 1413]
[1010, 1169, 1343, 1413]
[1176, 1169, 1509, 1413]
[1342, 1169, 1675, 1413]
[1508, 1169, 1841, 1413]
[1674, 1169, 2007, 1413]
[1840, 1169, 2173, 1413]
[2006, 1169, 2339, 1413]
[2172, 1169, 2505, 1413]
[2338, 1169, 2671, 1413]
[2504, 1169, 2837, 1413]
[2670, 1169, 3003, 1413]
[2836, 1169, 3169, 1413]
[3002, 1169, 3335, 1413]
[3168, 1169, 3501, 1413]
