['x', 'y', 'a', 'b']
[372, 211, 617, 395]
[494, 211, 739, 388]
[616, 211, 861, 393]
[738, 211, 983, 395]
[860, 213, 1105, 397]
[982, 217, 1227, 399]
[1104, 222, 1349, 399]
[1226, 226, 1471, 401]
[1348, 226, 1593, 401]
[1470, 226, 1715, 401]
[1592, 226, 1837, 401]
[1714, 228, 1959, 403]
[1836, 228, 2081, 408]
[1958, 230, 2203, 412]
[2080, 237, 2325, 416]
[2202, 241, 2447, 421]
[2324, 248, 2569, 423]
[2446, 250, 2691, 427]
[2568, 254, 2813, 429]
[2690, 254, 2935, 429]
[2812, 254, 3057, 429]
[2934, 254, 3179, 429]
[3056, 254, 3301, 429]
[3178, 256, 3423, 434]
[3300, 263, 3545, 438]
[372, 443, 617, 627]
[494, 443, 739, 623]
[616, 443, 861, 621]
[738, 446, 983, 623]
[860, 448, 1105, 623]
[982, 450, 1227, 625]
[1104, 450, 1349, 627]
[1226, 452, 1471, 629]
[1348, 454, 1593, 629]
[1470, 454, 1715, 632]
[1592, 456, 1837, 634]
[1714, 456, 1959, 636]
[1836, 458, 2081, 638]
[1958, 458, 2203, 640]
[2080, 463, 2325, 642]
[2202, 465, 2447, 644]
[2324, 469, 2569, 647]
[2446, 471, 2691, 651]
[2568, 474, 2813, 651]
[2690, 478, 2935, 655]
[2812, 480, 3057, 655]
[2934, 482, 3179, 655]
[3056, 480, 3301, 655]
[3178, 480, 3423, 655]
[3300, 482, 3545, 657]
[372, 678, 617, 860]
[494, 678, 739, 857]
[616, 678, 861, 860]
[738, 678, 983, 860]
[860, 680, 1105, 862]
[982, 682, 1227, 864]
[1104, 684, 1349, 864]
[1226, 684, 1471, 864]
[1348, 687, 1593, 866]
[1470, 687, 1715, 868]
[1592, 689, 1837, 868]
[1714, 689, 1959, 870]
[1836, 691, 2081, 870]
[1958, 693, 2203, 870]
[2080, 695, 2325, 873]
[2202, 695, 2447, 873]
[2324, 700, 2569, 875]
[2446, 700, 2691, 875]
[2568, 704, 2813, 875]
[2690, 704, 2935, 877]
[2812, 704, 3057, 877]
[2934, 704, 3179, 877]
[3056, 706, 3301, 879]
[3178, 706, 3423, 879]
[3300, 708, 3545, 879]
[372, 913, 617, 1090]
[494, 913, 739, 1090]
[616, 915, 861, 1092]
[738, 915, 983, 1092]
[860, 917, 1105, 1092]
[982, 917, 1227, 1092]
[1104, 919, 1349, 1092]
[1226, 919, 1471, 1092]
[1348, 919, 1593, 1094]
[1470, 921, 1715, 1094]
[1592, 921, 1837, 1094]
[1714, 921, 1959, 1094]
[1836, 921, 2081, 1094]
[1958, 923, 2203, 1094]
[2080, 923, 2325, 1094]
[2202, 923, 2447, 1094]
[2324, 925, 2569, 1096]
[2446, 925, 2691, 1096]
[2568, 928, 2813, 1096]
[2690, 928, 2935, 1099]
[2812, 928, 3057, 1099]
[2934, 928, 3179, 1099]
[3056, 930, 3301, 1099]
[3178, 930, 3423, 1101]
[3300, 930, 3545, 1101]
[372, 1145, 617, 1325]
[494, 1147, 739, 1325]
[616, 1147, 861, 1325]
[738, 1147, 983, 1325]
[860, 1147, 1105, 1325]
[982, 1147, 1227, 1325]
[1104, 1147, 1349, 1325]
[1226, 1147, 1471, 1322]
[1348, 1147, 1593, 1322]
[1470, 1147, 1715, 1322]
[1592, 1147, 1837, 1322]
[1714, 1147, 1959, 1322]
[1836, 1147, 2081, 1322]
[1958, 1147, 2203, 1322]
[2080, 1147, 2325, 1322]
[2202, 1147, 2447, 1322]
[2324, 1147, 2569, 1322]
[2446, 1149, 2691, 1322]
[2568, 1149, 2813, 1322]
[2690, 1149, 2935, 1322]
[2812, 1149, 3057, 1322]
[2934, 1149, 3179, 1322]
[3056, 1149, 3301, 1322]
[3178, 1149, 3423, 1322]
[3300, 1149, 3545, 1322]
[372, 1375, 617, 1559]
[494, 1380, 739, 1559]
[616, 1382, 861, 1559]
[738, 1382, 983, 1559]
[860, 1382, 1105, 1559]
[982, 1382, 1227, 1559]
[1104, 1382, 1349, 1557]
[1226, 1382, 1471, 1557]
[1348, 1380, 1593, 1557]
[1470, 1380, 1715, 1555]
[1592, 1380, 1837, 1555]
[1714, 1380, 1959, 1555]
[1836, 1377, 2081, 1553]
[1958, 1377, 2203, 1553]
[2080, 1377, 2325, 1553]
[2202, 1377, 2447, 1550]
[2324, 1377, 2569, 1550]
[2446, 1377, 2691, 1550]
[2568, 1375, 2813, 1548]
[2690, 1375, 2935, 1548]
[2812, 1375, 3057, 1548]
[2934, 1373, 3179, 1548]
[3056, 1373, 3301, 1546]
[3178, 1373, 3423, 1546]
[3300, 1373, 3545, 1544]
[372, 1608, 617, 1789]
[494, 1614, 739, 1789]
[616, 1614, 861, 1787]
[738, 1612, 983, 1785]
[860, 1612, 1105, 1785]
[982, 1610, 1227, 1783]
[1104, 1610, 1349, 1781]
[1226, 1610, 1471, 1781]
[1348, 1608, 1593, 1779]
[1470, 1606, 1715, 1776]
[1592, 1606, 1837, 1776]
[1714, 1606, 1959, 1774]
[1836, 1603, 2081, 1774]
[1958, 1603, 2203, 1772]
[2080, 1601, 2325, 1772]
[2202, 1601, 2447, 1772]
[2324, 1601, 2569, 1770]
[2446, 1599, 2691, 1770]
[2568, 1599, 2813, 1770]
[2690, 1599, 2935, 1768]
[2812, 1597, 3057, 1768]
[2934, 1597, 3179, 1766]
[3056, 1595, 3301, 1766]
[3178, 1595, 3423, 1766]
[3300, 1595, 3545, 1766]
