['x', 'y', 'a', 'b']
[390, 193, 649, 381]
[519, 193, 778, 375]
[648, 193, 907, 377]
[777, 193, 1036, 381]
[906, 198, 1165, 383]
[1035, 202, 1294, 387]
[1164, 206, 1423, 387]
[1293, 210, 1552, 390]
[1422, 210, 1681, 390]
[1551, 210, 1810, 390]
[1680, 210, 1939, 390]
[1809, 213, 2068, 394]
[1938, 215, 2197, 400]
[2067, 221, 2326, 405]
[2196, 228, 2455, 409]
[2325, 232, 2584, 413]
[2454, 238, 2713, 415]
[2583, 240, 2842, 418]
[2712, 240, 2971, 420]
[2841, 240, 3100, 420]
[2970, 240, 3229, 418]
[3099, 243, 3358, 422]
[3228, 247, 3487, 426]
[3357, 253, 3616, 430]
[390, 432, 649, 617]
[519, 432, 778, 613]
[648, 434, 907, 613]
[777, 436, 1036, 615]
[906, 438, 1165, 615]
[1035, 440, 1294, 617]
[1164, 440, 1423, 619]
[1293, 442, 1552, 621]
[1422, 444, 1681, 624]
[1551, 447, 1810, 624]
[1680, 447, 1939, 628]
[1809, 447, 2068, 630]
[1938, 449, 2197, 632]
[2067, 451, 2326, 634]
[2196, 455, 2455, 639]
[2325, 459, 2584, 641]
[2454, 462, 2713, 645]
[2583, 466, 2842, 647]
[2712, 470, 2971, 649]
[2841, 474, 3100, 652]
[2970, 474, 3229, 652]
[3099, 474, 3358, 649]
[3228, 474, 3487, 652]
[3357, 477, 3616, 656]
[390, 670, 649, 853]
[519, 670, 778, 853]
[648, 670, 907, 855]
[777, 672, 1036, 855]
[906, 674, 1165, 858]
[1035, 674, 1294, 860]
[1164, 676, 1423, 860]
[1293, 678, 1552, 862]
[1422, 681, 1681, 864]
[1551, 681, 1810, 864]
[1680, 683, 1939, 866]
[1809, 685, 2068, 866]
[1938, 687, 2197, 868]
[2067, 689, 2326, 870]
[2196, 691, 2455, 873]
[2325, 693, 2584, 873]
[2454, 698, 2713, 873]
[2583, 700, 2842, 875]
[2712, 700, 2971, 875]
[2841, 702, 3100, 877]
[2970, 702, 3229, 877]
[3099, 704, 3358, 879]
[3228, 704, 3487, 879]
[3357, 706, 3616, 881]
[390, 910, 649, 1089]
[519, 910, 778, 1092]
[648, 910, 907, 1092]
[777, 912, 1036, 1092]
[906, 915, 1165, 1094]
[1035, 915, 1294, 1094]
[1164, 917, 1423, 1094]
[1293, 917, 1552, 1094]
[1422, 919, 1681, 1096]
[1551, 919, 1810, 1096]
[1680, 921, 1939, 1096]
[1809, 921, 2068, 1098]
[1938, 923, 2197, 1098]
[2067, 923, 2326, 1098]
[2196, 925, 2455, 1098]
[2325, 925, 2584, 1100]
[2454, 927, 2713, 1100]
[2583, 927, 2842, 1102]
[2712, 930, 2971, 1102]
[2841, 930, 3100, 1102]
[2970, 930, 3229, 1104]
[3099, 932, 3358, 1104]
[3228, 932, 3487, 1104]
[3357, 932, 3616, 1107]
[390, 1146, 649, 1328]
[519, 1149, 778, 1330]
[648, 1149, 907, 1330]
[777, 1149, 1036, 1330]
[906, 1149, 1165, 1328]
[1035, 1149, 1294, 1328]
[1164, 1151, 1423, 1328]
[1293, 1151, 1552, 1328]
[1422, 1151, 1681, 1328]
[1551, 1151, 1810, 1328]
[1680, 1151, 1939, 1328]
[1809, 1151, 2068, 1330]
[1938, 1153, 2197, 1330]
[2067, 1153, 2326, 1330]
[2196, 1153, 2455, 1330]
[2325, 1153, 2584, 1330]
[2454, 1153, 2713, 1330]
[2583, 1155, 2842, 1330]
[2712, 1155, 2971, 1330]
[2841, 1155, 3100, 1332]
[2970, 1157, 3229, 1332]
[3099, 1157, 3358, 1332]
[3228, 1157, 3487, 1332]
[3357, 1157, 3616, 1332]
[390, 1383, 649, 1566]
[519, 1385, 778, 1568]
[648, 1389, 907, 1568]
[777, 1389, 1036, 1568]
[906, 1389, 1165, 1568]
[1035, 1389, 1294, 1568]
[1164, 1389, 1423, 1568]
[1293, 1389, 1552, 1566]
[1422, 1387, 1681, 1566]
[1551, 1387, 1810, 1566]
[1680, 1387, 1939, 1566]
[1809, 1387, 2068, 1566]
[1938, 1387, 2197, 1564]
[2067, 1387, 2326, 1564]
[2196, 1387, 2455, 1564]
[2325, 1387, 2584, 1564]
[2454, 1387, 2713, 1562]
[2583, 1387, 2842, 1562]
[2712, 1387, 2971, 1562]
[2841, 1387, 3100, 1562]
[2970, 1385, 3229, 1562]
[3099, 1385, 3358, 1560]
[3228, 1385, 3487, 1560]
[3357, 1385, 3616, 1557]
[390, 1619, 649, 1802]
[519, 1625, 778, 1802]
[648, 1625, 907, 1800]
[777, 1625, 1036, 1798]
[906, 1625, 1165, 1798]
[1035, 1623, 1294, 1796]
[1164, 1623, 1423, 1796]
[1293, 1621, 1552, 1796]
[1422, 1621, 1681, 1794]
[1551, 1621, 1810, 1794]
[1680, 1619, 1939, 1791]
[1809, 1619, 2068, 1791]
[1938, 1616, 2197, 1789]
[2067, 1616, 2326, 1789]
[2196, 1616, 2455, 1789]
[2325, 1616, 2584, 1789]
[2454, 1614, 2713, 1789]
[2583, 1614, 2842, 1787]
[2712, 1614, 2971, 1787]
[2841, 1612, 3100, 1785]
[2970, 1612, 3229, 1785]
[3099, 1612, 3358, 1785]
[3228, 1610, 3487, 1785]
[3357, 1610, 3616, 1785]
[390, 1885, 649, 2045]
[519, 1893, 778, 2073]
[648, 1891, 907, 2073]
[777, 1889, 1036, 2070]
[906, 1887, 1165, 2068]
[1035, 1883, 1294, 2066]
[1164, 1881, 1423, 2062]
[1293, 1878, 1552, 2058]
[1422, 1878, 1681, 2058]
[1551, 1876, 1810, 2058]
[1680, 1876, 1939, 2058]
[1809, 1874, 2068, 2058]
[1938, 1874, 2197, 2058]
[2067, 1872, 2326, 2055]
[2196, 1872, 2455, 2053]
[2325, 1870, 2584, 2051]
[2454, 1870, 2713, 2051]
[2583, 1870, 2842, 2051]
[2712, 1868, 2971, 2049]
[2841, 1868, 3100, 2049]
[2970, 1868, 3229, 2047]
[3099, 1868, 3358, 2047]
[3228, 1868, 3487, 2047]
[3357, 1866, 3616, 2043]
