['x', 'y', 'a', 'b']
[344, 212, 551, 395]
[447, 210, 654, 389]
[550, 210, 757, 391]
[653, 212, 860, 393]
[756, 212, 963, 395]
[859, 214, 1066, 397]
[962, 218, 1169, 399]
[1065, 222, 1272, 399]
[1168, 224, 1375, 401]
[1271, 227, 1478, 401]
[1374, 227, 1581, 401]
[1477, 227, 1684, 403]
[1580, 227, 1787, 403]
[1683, 227, 1890, 403]
[1786, 229, 1993, 405]
[1889, 231, 2096, 410]
[1992, 235, 2199, 414]
[2095, 239, 2302, 416]
[2198, 243, 2405, 420]
[2301, 248, 2508, 422]
[2404, 250, 2611, 426]
[2507, 254, 2714, 426]
[2610, 254, 2817, 429]
[2713, 254, 2920, 431]
[2816, 254, 3023, 431]
[2919, 254, 3126, 429]
[3022, 254, 3229, 429]
[3125, 256, 3332, 433]
[3228, 260, 3435, 435]
[3331, 266, 3538, 439]
[344, 446, 551, 626]
[447, 443, 654, 624]
[550, 443, 757, 622]
[653, 445, 860, 622]
[756, 447, 963, 622]
[859, 449, 1066, 624]
[962, 449, 1169, 624]
[1065, 449, 1272, 628]
[1168, 452, 1375, 628]
[1271, 454, 1478, 630]
[1374, 454, 1581, 630]
[1477, 456, 1684, 630]
[1580, 456, 1787, 633]
[1683, 458, 1890, 635]
[1786, 458, 1993, 637]
[1889, 460, 2096, 639]
[1992, 460, 2199, 641]
[2095, 464, 2302, 643]
[2198, 466, 2405, 645]
[2301, 468, 2508, 647]
[2404, 470, 2611, 649]
[2507, 475, 2714, 651]
[2610, 477, 2817, 651]
[2713, 479, 2920, 656]
[2816, 483, 3023, 656]
[2919, 481, 3126, 656]
[3022, 481, 3229, 656]
[3125, 481, 3332, 656]
[3228, 483, 3435, 656]
[3331, 483, 3538, 658]
[344, 679, 551, 860]
[447, 679, 654, 858]
[550, 679, 757, 858]
[653, 679, 860, 860]
[756, 679, 963, 862]
[859, 681, 1066, 862]
[962, 683, 1169, 864]
[1065, 683, 1272, 864]
[1168, 685, 1375, 864]
[1271, 685, 1478, 866]
[1374, 687, 1581, 866]
[1477, 687, 1684, 868]
[1580, 689, 1787, 868]
[1683, 689, 1890, 870]
[1786, 691, 1993, 870]
[1889, 693, 2096, 870]
[1992, 693, 2199, 872]
[2095, 695, 2302, 872]
[2198, 695, 2405, 872]
[2301, 700, 2508, 874]
[2404, 700, 2611, 874]
[2507, 704, 2714, 874]
[2610, 704, 2817, 874]
[2713, 704, 2920, 876]
[2816, 704, 3023, 876]
[2919, 704, 3126, 876]
[3022, 706, 3229, 879]
[3125, 706, 3332, 879]
[3228, 706, 3435, 879]
[3331, 708, 3538, 879]
[344, 914, 551, 1089]
[447, 914, 654, 1091]
[550, 914, 757, 1091]
[653, 914, 860, 1091]
[756, 916, 963, 1091]
[859, 916, 1066, 1091]
[962, 918, 1169, 1093]
[1065, 918, 1272, 1093]
[1168, 918, 1375, 1093]
[1271, 918, 1478, 1093]
[1374, 920, 1581, 1093]
[1477, 920, 1684, 1093]
[1580, 920, 1787, 1093]
[1683, 920, 1890, 1093]
[1786, 923, 1993, 1095]
[1889, 923, 2096, 1095]
[1992, 925, 2199, 1095]
[2095, 925, 2302, 1095]
[2198, 925, 2405, 1095]
[2301, 925, 2508, 1097]
[2404, 925, 2611, 1097]
[2507, 927, 2714, 1097]
[2610, 927, 2817, 1097]
[2713, 927, 2920, 1097]
[2816, 927, 3023, 1097]
[2919, 929, 3126, 1099]
[3022, 929, 3229, 1099]
[3125, 929, 3332, 1099]
[3228, 931, 3435, 1099]
[3331, 931, 3538, 1099]
[344, 1145, 551, 1322]
[447, 1145, 654, 1324]
[550, 1148, 757, 1324]
[653, 1148, 860, 1324]
[756, 1148, 963, 1324]
[859, 1148, 1066, 1324]
[962, 1148, 1169, 1324]
[1065, 1148, 1272, 1324]
[1168, 1148, 1375, 1324]
[1271, 1148, 1478, 1324]
[1374, 1148, 1581, 1322]
[1477, 1148, 1684, 1322]
[1580, 1148, 1787, 1322]
[1683, 1148, 1890, 1322]
[1786, 1148, 1993, 1322]
[1889, 1148, 2096, 1322]
[1992, 1148, 2199, 1322]
[2095, 1148, 2302, 1322]
[2198, 1148, 2405, 1322]
[2301, 1148, 2508, 1322]
[2404, 1150, 2611, 1322]
[2507, 1148, 2714, 1322]
[2610, 1148, 2817, 1322]
[2713, 1148, 2920, 1322]
[2816, 1150, 3023, 1322]
[2919, 1150, 3126, 1322]
[3022, 1150, 3229, 1322]
[3125, 1150, 3332, 1322]
[3228, 1150, 3435, 1322]
[3331, 1150, 3538, 1322]
[344, 1375, 551, 1558]
[447, 1379, 654, 1558]
[550, 1381, 757, 1558]
[653, 1383, 860, 1560]
[756, 1381, 963, 1560]
[859, 1381, 1066, 1558]
[962, 1381, 1169, 1558]
[1065, 1381, 1272, 1558]
[1168, 1381, 1375, 1558]
[1271, 1381, 1478, 1556]
[1374, 1379, 1581, 1556]
[1477, 1379, 1684, 1556]
[1580, 1379, 1787, 1556]
[1683, 1379, 1890, 1554]
[1786, 1379, 1993, 1554]
[1889, 1379, 2096, 1551]
[1992, 1379, 2199, 1551]
[2095, 1379, 2302, 1551]
[2198, 1377, 2405, 1551]
[2301, 1377, 2508, 1549]
[2404, 1377, 2611, 1549]
[2507, 1377, 2714, 1549]
[2610, 1377, 2817, 1549]
[2713, 1375, 2920, 1549]
[2816, 1375, 3023, 1547]
[2919, 1375, 3126, 1547]
[3022, 1373, 3229, 1547]
[3125, 1373, 3332, 1545]
[3228, 1373, 3435, 1545]
[3331, 1373, 3538, 1543]
[344, 1606, 551, 1789]
[447, 1612, 654, 1789]
[550, 1614, 757, 1787]
[653, 1614, 860, 1785]
[756, 1612, 963, 1785]
[859, 1610, 1066, 1783]
[962, 1610, 1169, 1783]
[1065, 1610, 1272, 1781]
[1168, 1608, 1375, 1781]
[1271, 1608, 1478, 1779]
[1374, 1608, 1581, 1776]
[1477, 1606, 1684, 1776]
[1580, 1606, 1787, 1776]
[1683, 1604, 1890, 1774]
[1786, 1604, 1993, 1774]
[1889, 1604, 2096, 1774]
[1992, 1602, 2199, 1772]
[2095, 1602, 2302, 1772]
[2198, 1602, 2405, 1770]
[2301, 1600, 2508, 1770]
[2404, 1600, 2611, 1770]
[2507, 1600, 2714, 1770]
[2610, 1600, 2817, 1768]
[2713, 1598, 2920, 1768]
[2816, 1598, 3023, 1766]
[2919, 1596, 3126, 1766]
[3022, 1596, 3229, 1766]
[3125, 1593, 3332, 1766]
[3228, 1593, 3435, 1766]
[3331, 1593, 3538, 1766]
[344, 1869, 551, 1997]
[447, 1875, 654, 2054]
[550, 1875, 757, 2054]
[653, 1873, 860, 2052]
[756, 1873, 963, 2050]
[859, 1869, 1066, 2048]
[962, 1869, 1169, 2046]
[1065, 1865, 1272, 2041]
[1168, 1863, 1375, 2039]
[1271, 1860, 1478, 2037]
[1374, 1860, 1581, 2037]
[1477, 1860, 1684, 2037]
[1580, 1858, 1787, 2037]
[1683, 1858, 1890, 2037]
[1786, 1856, 1993, 2037]
[1889, 1856, 2096, 2035]
[1992, 1854, 2199, 2033]
[2095, 1852, 2302, 2033]
[2198, 1852, 2405, 2033]
[2301, 1852, 2508, 2031]
[2404, 1850, 2611, 2029]
[2507, 1850, 2714, 2029]
[2610, 1850, 2817, 2027]
[2713, 1848, 2920, 2027]
[2816, 1848, 3023, 2027]
[2919, 1848, 3126, 2027]
[3022, 1848, 3229, 2025]
[3125, 1848, 3332, 2023]
[3228, 1846, 3435, 2020]
[3331, 1844, 3538, 2018]
