['x', 'y', 'a', 'b']
[514, 208, 784, 390]
[649, 208, 919, 388]
[784, 207, 1054, 390]
[919, 207, 1189, 390]
[1054, 207, 1324, 388]
[1189, 207, 1459, 390]
[1324, 207, 1594, 391]
[1459, 207, 1729, 391]
[1594, 207, 1864, 390]
[1729, 205, 1999, 388]
[1864, 204, 2134, 388]
[1999, 204, 2269, 388]
[2134, 202, 2404, 388]
[2269, 202, 2539, 387]
[2404, 202, 2674, 385]
[2539, 202, 2809, 385]
[2674, 202, 2944, 387]
[2809, 205, 3079, 390]
[2944, 205, 3214, 394]
[3079, 210, 3349, 397]
[3214, 214, 3484, 403]
[3349, 219, 3619, 417]
[514, 451, 784, 632]
[649, 451, 919, 634]
[784, 451, 1054, 634]
[919, 452, 1189, 634]
[1054, 452, 1324, 634]
[1189, 452, 1459, 634]
[1324, 452, 1594, 634]
[1459, 452, 1729, 634]
[1594, 452, 1864, 634]
[1729, 451, 1999, 634]
[1864, 451, 2134, 634]
[1999, 451, 2269, 634]
[2134, 451, 2404, 634]
[2269, 449, 2539, 634]
[2404, 449, 2674, 634]
[2539, 449, 2809, 634]
[2674, 449, 2944, 635]
[2809, 449, 3079, 637]
[2944, 452, 3214, 638]
[3079, 454, 3349, 641]
[3214, 457, 3484, 644]
[3349, 460, 3619, 650]
[514, 693, 784, 876]
[649, 693, 919, 876]
[784, 693, 1054, 875]
[919, 695, 1189, 876]
[1054, 695, 1324, 878]
[1189, 695, 1459, 878]
[1324, 696, 1594, 878]
[1459, 696, 1729, 879]
[1594, 696, 1864, 881]
[1729, 696, 1999, 881]
[1864, 696, 2134, 881]
[1999, 696, 2269, 882]
[2134, 698, 2404, 882]
[2269, 698, 2539, 882]
[2404, 698, 2674, 884]
[2539, 699, 2809, 885]
[2674, 699, 2944, 885]
[2809, 699, 3079, 885]
[2944, 701, 3214, 887]
[3079, 701, 3349, 887]
[3214, 702, 3484, 887]
[3349, 704, 3619, 887]
[514, 931, 784, 1113]
[649, 933, 919, 1113]
[784, 934, 1054, 1116]
[919, 936, 1189, 1117]
[1054, 937, 1324, 1119]
[1189, 939, 1459, 1120]
[1324, 940, 1594, 1122]
[1459, 940, 1729, 1123]
[1594, 942, 1864, 1125]
[1729, 942, 1999, 1126]
[1864, 943, 2134, 1128]
[1999, 945, 2269, 1129]
[2134, 946, 2404, 1131]
[2269, 946, 2539, 1132]
[2404, 948, 2674, 1132]
[2539, 949, 2809, 1134]
[2674, 949, 2944, 1134]
[2809, 949, 3079, 1134]
[2944, 949, 3214, 1134]
[3079, 948, 3349, 1132]
[3214, 946, 3484, 1129]
[3349, 942, 3619, 1129]
[514, 1171, 784, 1354]
[649, 1171, 919, 1357]
[784, 1174, 1054, 1358]
[919, 1175, 1189, 1360]
[1054, 1177, 1324, 1363]
[1189, 1180, 1459, 1366]
[1324, 1181, 1594, 1367]
[1459, 1184, 1729, 1369]
[1594, 1184, 1864, 1372]
[1729, 1187, 1999, 1375]
[1864, 1189, 2134, 1376]
[1999, 1190, 2269, 1378]
[2134, 1193, 2404, 1381]
[2269, 1195, 2539, 1381]
[2404, 1196, 2674, 1382]
[2539, 1198, 2809, 1382]
[2674, 1198, 2944, 1382]
[2809, 1196, 3079, 1382]
[2944, 1195, 3214, 1382]
[3079, 1190, 3349, 1379]
[3214, 1184, 3484, 1376]
[3349, 1174, 3619, 1372]
