['x', 'y', 'a', 'b']
[794, 170, 1086, 356]
[940, 168, 1232, 354]
[1086, 168, 1378, 354]
[1232, 166, 1524, 354]
[1378, 166, 1670, 354]
[1524, 166, 1816, 354]
[1670, 162, 1962, 352]
[1816, 160, 2108, 350]
[1962, 157, 2254, 348]
[2108, 155, 2400, 346]
[2254, 155, 2546, 345]
[2400, 155, 2692, 343]
[2546, 155, 2838, 343]
[2692, 157, 2984, 348]
[2838, 159, 3130, 358]
[2984, 166, 3276, 369]
[3130, 175, 3422, 389]
[3276, 190, 3568, 389]
[794, 420, 1086, 608]
[940, 420, 1232, 608]
[1086, 420, 1378, 606]
[1232, 418, 1524, 606]
[1378, 418, 1670, 606]
[1524, 418, 1816, 604]
[1670, 414, 1962, 602]
[1816, 413, 2108, 600]
[1962, 411, 2254, 600]
[2108, 411, 2400, 599]
[2254, 407, 2546, 597]
[2400, 407, 2692, 597]
[2546, 409, 2838, 599]
[2692, 409, 2984, 602]
[2838, 411, 3130, 606]
[2984, 416, 3276, 615]
[3130, 422, 3422, 627]
[3276, 435, 3568, 627]
[794, 670, 1086, 855]
[940, 670, 1232, 854]
[1086, 670, 1378, 854]
[1232, 668, 1524, 854]
[1378, 668, 1670, 854]
[1524, 667, 1816, 854]
[1670, 667, 1962, 854]
[1816, 667, 2108, 853]
[1962, 665, 2254, 853]
[2108, 665, 2400, 853]
[2254, 665, 2546, 853]
[2400, 665, 2692, 853]
[2546, 665, 2838, 854]
[2692, 665, 2984, 856]
[2838, 667, 3130, 858]
[2984, 668, 3276, 860]
[3130, 672, 3422, 866]
[3276, 678, 3568, 866]
[794, 919, 1086, 1101]
[940, 919, 1232, 1101]
[1086, 919, 1378, 1103]
[1232, 919, 1524, 1103]
[1378, 919, 1670, 1103]
[1524, 919, 1816, 1105]
[1670, 919, 1962, 1105]
[1816, 921, 2108, 1105]
[1962, 921, 2254, 1105]
[2108, 921, 2400, 1107]
[2254, 921, 2546, 1107]
[2400, 921, 2692, 1107]
[2546, 921, 2838, 1108]
[2692, 921, 2984, 1108]
[2838, 922, 3130, 1108]
[2984, 922, 3276, 1108]
[3130, 924, 3422, 1107]
[3276, 924, 3568, 1105]
[794, 1162, 1086, 1348]
[940, 1163, 1232, 1349]
[1086, 1165, 1378, 1351]
[1232, 1165, 1524, 1353]
[1378, 1165, 1670, 1355]
[1524, 1169, 1816, 1357]
[1670, 1169, 1962, 1359]
[1816, 1171, 2108, 1361]
[1962, 1173, 2254, 1361]
[2108, 1173, 2400, 1362]
[2254, 1175, 2546, 1364]
[2400, 1175, 2692, 1364]
[2546, 1175, 2838, 1364]
[2692, 1175, 2984, 1364]
[2838, 1173, 3130, 1362]
[2984, 1167, 3276, 1361]
[3130, 1163, 3422, 1357]
[3276, 1163, 3568, 1349]
[794, 1412, 1086, 1600]
[940, 1414, 1232, 1603]
[1086, 1416, 1378, 1605]
[1232, 1416, 1524, 1605]
[1378, 1417, 1670, 1609]
[1524, 1419, 1816, 1609]
[1670, 1421, 1962, 1613]
[1816, 1425, 2108, 1615]
[1962, 1427, 2254, 1618]
[2108, 1429, 2400, 1620]
[2254, 1430, 2546, 1620]
[2400, 1432, 2692, 1620]
[2546, 1430, 2838, 1620]
[2692, 1427, 2984, 1620]
[2838, 1421, 3130, 1616]
[2984, 1412, 3276, 1613]
[3130, 1401, 3422, 1605]
[3276, 1401, 3568, 1594]
[794, 1668, 1086, 1826]
[940, 1670, 1232, 1861]
[1086, 1671, 1378, 1861]
[1232, 1673, 1524, 1863]
[1378, 1675, 1670, 1865]
[1524, 1677, 1816, 1869]
[1670, 1681, 1962, 1870]
[1816, 1681, 2108, 1872]
[1962, 1683, 2254, 1874]
[2108, 1684, 2400, 1876]
[2254, 1686, 2546, 1878]
[2400, 1688, 2692, 1878]
[2546, 1684, 2838, 1876]
[2692, 1681, 2984, 1874]
[2838, 1671, 3130, 1872]
[2984, 1656, 3276, 1865]
[3130, 1640, 3422, 1856]
[3276, 1640, 3568, 1837]
