['x', 'y', 'a', 'b']
[645, 177, 913, 363]
[779, 177, 1047, 363]
[913, 176, 1181, 363]
[1047, 174, 1315, 363]
[1181, 174, 1449, 363]
[1315, 176, 1583, 363]
[1449, 174, 1717, 363]
[1583, 172, 1851, 361]
[1717, 172, 1985, 361]
[1851, 170, 2119, 361]
[1985, 169, 2253, 360]
[2119, 169, 2387, 358]
[2253, 167, 2521, 356]
[2387, 167, 2655, 355]
[2521, 167, 2789, 355]
[2655, 169, 2923, 358]
[2789, 170, 3057, 361]
[2923, 172, 3191, 368]
[3057, 177, 3325, 377]
[3191, 186, 3459, 392]
[3325, 196, 3593, 397]
[645, 429, 913, 617]
[779, 429, 1047, 617]
[913, 429, 1181, 617]
[1047, 429, 1315, 617]
[1181, 429, 1449, 617]
[1315, 429, 1583, 617]
[1449, 429, 1717, 617]
[1583, 427, 1851, 617]
[1717, 427, 1985, 615]
[1851, 426, 2119, 613]
[1985, 424, 2253, 613]
[2119, 424, 2387, 613]
[2253, 424, 2521, 613]
[2387, 422, 2655, 612]
[2521, 422, 2789, 613]
[2655, 422, 2923, 613]
[2789, 424, 3057, 617]
[2923, 426, 3191, 620]
[3057, 429, 3325, 625]
[3191, 436, 3459, 634]
[3325, 441, 3593, 637]
[645, 681, 913, 867]
[779, 681, 1047, 867]
[913, 681, 1181, 867]
[1047, 681, 1315, 867]
[1181, 681, 1449, 869]
[1315, 681, 1583, 869]
[1449, 681, 1717, 869]
[1583, 681, 1851, 869]
[1717, 681, 1985, 870]
[1851, 681, 2119, 870]
[1985, 681, 2253, 869]
[2119, 681, 2387, 870]
[2253, 681, 2521, 870]
[2387, 681, 2655, 870]
[2521, 681, 2789, 870]
[2655, 681, 2923, 872]
[2789, 683, 3057, 872]
[2923, 683, 3191, 874]
[3057, 686, 3325, 875]
[3191, 688, 3459, 877]
[3325, 691, 3593, 879]
[645, 931, 913, 1114]
[779, 931, 1047, 1115]
[913, 931, 1181, 1117]
[1047, 933, 1315, 1119]
[1181, 933, 1449, 1119]
[1315, 933, 1583, 1120]
[1449, 935, 1717, 1120]
[1583, 935, 1851, 1122]
[1717, 936, 1985, 1124]
[1851, 936, 2119, 1124]
[1985, 936, 2253, 1124]
[2119, 938, 2387, 1126]
[2253, 938, 2521, 1127]
[2387, 940, 2655, 1129]
[2521, 940, 2789, 1129]
[2655, 940, 2923, 1129]
[2789, 940, 3057, 1129]
[2923, 940, 3191, 1127]
[3057, 940, 3325, 1127]
[3191, 940, 3459, 1126]
[3325, 940, 3593, 1124]
[645, 1176, 913, 1364]
[779, 1178, 1047, 1365]
[913, 1178, 1181, 1367]
[1047, 1181, 1315, 1369]
[1181, 1181, 1449, 1372]
[1315, 1183, 1583, 1374]
[1449, 1185, 1717, 1376]
[1583, 1186, 1851, 1377]
[1717, 1188, 1985, 1379]
[1851, 1190, 2119, 1383]
[1985, 1190, 2253, 1383]
[2119, 1193, 2387, 1384]
[2253, 1195, 2521, 1386]
[2387, 1195, 2655, 1386]
[2521, 1197, 2789, 1386]
[2655, 1197, 2923, 1386]
[2789, 1195, 3057, 1386]
[2923, 1192, 3191, 1384]
[3057, 1188, 3325, 1383]
[3191, 1180, 3459, 1379]
[3325, 1180, 3593, 1372]
[645, 1430, 913, 1618]
[779, 1430, 1047, 1622]
[913, 1431, 1181, 1624]
[1047, 1433, 1315, 1624]
[1181, 1435, 1449, 1626]
[1315, 1437, 1583, 1629]
[1449, 1440, 1717, 1631]
[1583, 1442, 1851, 1634]
[1717, 1445, 1985, 1636]
[1851, 1447, 2119, 1638]
[1985, 1449, 2253, 1641]
[2119, 1450, 2387, 1643]
[2253, 1452, 2521, 1645]
[2387, 1455, 2655, 1646]
[2521, 1455, 2789, 1646]
[2655, 1454, 2923, 1645]
[2789, 1450, 3057, 1645]
[2923, 1445, 3191, 1641]
[3057, 1437, 3325, 1636]
[3191, 1421, 3459, 1629]
[3325, 1419, 3593, 1621]
