['x', 'y', 'a', 'b']
[635, 197, 888, 383]
[761, 197, 1014, 381]
[887, 196, 1140, 381]
[1013, 194, 1266, 381]
[1139, 192, 1392, 379]
[1265, 192, 1518, 379]
[1391, 192, 1644, 378]
[1517, 189, 1770, 378]
[1643, 189, 1896, 376]
[1769, 186, 2022, 374]
[1895, 184, 2148, 372]
[2021, 182, 2274, 371]
[2147, 180, 2400, 369]
[2273, 180, 2526, 367]
[2399, 179, 2652, 366]
[2525, 179, 2778, 364]
[2651, 179, 2904, 366]
[2777, 180, 3030, 369]
[2903, 182, 3156, 372]
[3029, 187, 3282, 379]
[3155, 192, 3408, 391]
[3281, 199, 3534, 399]
[635, 447, 888, 631]
[761, 447, 1014, 630]
[887, 445, 1140, 630]
[1013, 445, 1266, 630]
[1139, 443, 1392, 630]
[1265, 443, 1518, 628]
[1391, 441, 1644, 627]
[1517, 440, 1770, 625]
[1643, 438, 1896, 625]
[1769, 436, 2022, 623]
[1895, 435, 2148, 623]
[2021, 433, 2274, 620]
[2147, 433, 2400, 620]
[2273, 431, 2526, 618]
[2399, 430, 2652, 618]
[2525, 430, 2778, 617]
[2651, 430, 2904, 618]
[2777, 430, 3030, 618]
[2903, 431, 3156, 622]
[3029, 435, 3282, 625]
[3155, 438, 3408, 630]
[3281, 443, 3534, 635]
[635, 694, 888, 876]
[761, 692, 1014, 876]
[887, 692, 1140, 876]
[1013, 692, 1266, 876]
[1139, 691, 1392, 874]
[1265, 689, 1518, 874]
[1391, 689, 1644, 874]
[1517, 689, 1770, 874]
[1643, 687, 1896, 874]
[1769, 687, 2022, 873]
[1895, 686, 2148, 873]
[2021, 686, 2274, 873]
[2147, 684, 2400, 871]
[2273, 684, 2526, 871]
[2399, 684, 2652, 871]
[2525, 684, 2778, 871]
[2651, 684, 2904, 871]
[2777, 684, 3030, 871]
[2903, 684, 3156, 871]
[3029, 684, 3282, 873]
[3155, 686, 3408, 873]
[3281, 689, 3534, 873]
[635, 938, 888, 1118]
[761, 938, 1014, 1118]
[887, 938, 1140, 1118]
[1013, 938, 1266, 1120]
[1139, 938, 1392, 1120]
[1265, 940, 1518, 1122]
[1391, 940, 1644, 1122]
[1517, 938, 1770, 1122]
[1643, 938, 1896, 1122]
[1769, 938, 2022, 1123]
[1895, 938, 2148, 1123]
[2021, 938, 2274, 1123]
[2147, 938, 2400, 1123]
[2273, 938, 2526, 1123]
[2399, 938, 2652, 1125]
[2525, 938, 2778, 1125]
[2651, 938, 2904, 1123]
[2777, 937, 3030, 1123]
[2903, 937, 3156, 1122]
[3029, 935, 3282, 1120]
[3155, 933, 3408, 1118]
[3281, 931, 3534, 1117]
[635, 1179, 888, 1364]
[761, 1179, 1014, 1366]
[887, 1181, 1140, 1366]
[1013, 1182, 1266, 1368]
[1139, 1182, 1392, 1368]
[1265, 1184, 1518, 1369]
[1391, 1186, 1644, 1371]
[1517, 1186, 1770, 1373]
[1643, 1186, 1896, 1374]
[1769, 1187, 2022, 1374]
[1895, 1187, 2148, 1378]
[2021, 1189, 2274, 1378]
[2147, 1189, 2400, 1378]
[2273, 1191, 2526, 1379]
[2399, 1191, 2652, 1379]
[2525, 1191, 2778, 1378]
[2651, 1189, 2904, 1378]
[2777, 1186, 3030, 1376]
[2903, 1184, 3156, 1374]
[3029, 1179, 3282, 1373]
[3155, 1171, 3408, 1368]
[3281, 1167, 3534, 1361]
[635, 1428, 888, 1585]
[761, 1428, 1014, 1615]
[887, 1430, 1140, 1619]
[1013, 1432, 1266, 1619]
[1139, 1432, 1392, 1620]
[1265, 1433, 1518, 1622]
[1391, 1435, 1644, 1622]
[1517, 1437, 1770, 1624]
[1643, 1438, 1896, 1625]
[1769, 1440, 2022, 1627]
[1895, 1442, 2148, 1629]
[2021, 1442, 2274, 1632]
[2147, 1443, 2400, 1632]
[2273, 1445, 2526, 1634]
[2399, 1445, 2652, 1634]
[2525, 1443, 2778, 1634]
[2651, 1442, 2904, 1632]
[2777, 1437, 3030, 1630]
[2903, 1432, 3156, 1627]
[3029, 1425, 3282, 1622]
[3155, 1411, 3408, 1615]
[3281, 1403, 3534, 1605]
