['x', 'y', 'a', 'b']
[345, 223, 618, 404]
[481, 223, 754, 398]
[617, 224, 890, 398]
[753, 226, 1026, 399]
[889, 227, 1162, 401]
[1025, 227, 1298, 402]
[1161, 230, 1434, 405]
[1297, 230, 1570, 405]
[1433, 231, 1706, 407]
[1569, 233, 1842, 408]
[1705, 233, 1978, 410]
[1841, 233, 2114, 411]
[1977, 234, 2250, 412]
[2113, 237, 2386, 414]
[2249, 240, 2522, 415]
[2385, 243, 2658, 420]
[2521, 244, 2794, 421]
[2657, 247, 2930, 423]
[2793, 250, 3066, 424]
[2929, 252, 3202, 424]
[3065, 252, 3338, 424]
[3201, 252, 3474, 424]
[3337, 252, 3610, 425]
[345, 455, 618, 636]
[481, 455, 754, 635]
[617, 457, 890, 635]
[753, 458, 1026, 636]
[889, 458, 1162, 638]
[1025, 459, 1298, 638]
[1161, 461, 1434, 639]
[1297, 462, 1570, 639]
[1433, 464, 1706, 640]
[1569, 464, 1842, 640]
[1705, 465, 1978, 640]
[1841, 465, 2114, 640]
[1977, 467, 2250, 642]
[2113, 467, 2386, 643]
[2249, 470, 2522, 643]
[2385, 471, 2658, 643]
[2521, 473, 2794, 645]
[2657, 473, 2930, 645]
[2793, 473, 3066, 646]
[2929, 474, 3202, 646]
[3065, 474, 3338, 646]
[3201, 475, 3474, 646]
[3337, 475, 3610, 648]
[345, 692, 618, 870]
[481, 692, 754, 871]
[617, 692, 890, 871]
[753, 692, 1026, 871]
[889, 693, 1162, 870]
[1025, 693, 1298, 870]
[1161, 693, 1434, 870]
[1297, 693, 1570, 870]
[1433, 695, 1706, 870]
[1569, 695, 1842, 870]
[1705, 695, 1978, 870]
[1841, 695, 2114, 870]
[1977, 695, 2250, 870]
[2113, 695, 2386, 870]
[2249, 696, 2522, 870]
[2385, 696, 2658, 870]
[2521, 696, 2794, 870]
[2657, 696, 2930, 870]
[2793, 698, 3066, 870]
[2929, 698, 3202, 870]
[3065, 698, 3338, 871]
[3201, 698, 3474, 871]
[3337, 699, 3610, 871]
[345, 924, 618, 1105]
[481, 929, 754, 1105]
[617, 929, 890, 1105]
[753, 929, 1026, 1105]
[889, 929, 1162, 1104]
[1025, 929, 1298, 1104]
[1161, 929, 1434, 1104]
[1297, 929, 1570, 1102]
[1433, 927, 1706, 1102]
[1569, 927, 1842, 1101]
[1705, 927, 1978, 1101]
[1841, 927, 2114, 1099]
[1977, 926, 2250, 1099]
[2113, 926, 2386, 1099]
[2249, 927, 2522, 1098]
[2385, 926, 2658, 1098]
[2521, 926, 2794, 1096]
[2657, 926, 2930, 1096]
[2793, 924, 3066, 1096]
[2929, 924, 3202, 1095]
[3065, 923, 3338, 1095]
[3201, 923, 3474, 1095]
[3337, 923, 3610, 1094]
[345, 1158, 618, 1339]
[481, 1158, 754, 1339]
[617, 1157, 890, 1339]
[753, 1157, 1026, 1338]
[889, 1155, 1162, 1336]
[1025, 1154, 1298, 1335]
[1161, 1154, 1434, 1333]
[1297, 1152, 1570, 1330]
[1433, 1151, 1706, 1327]
[1569, 1151, 1842, 1327]
[1705, 1149, 1978, 1327]
[1841, 1149, 2114, 1326]
[1977, 1149, 2250, 1326]
[2113, 1148, 2386, 1325]
[2249, 1148, 2522, 1323]
[2385, 1148, 2658, 1323]
[2521, 1146, 2794, 1322]
[2657, 1146, 2930, 1322]
[2793, 1145, 3066, 1320]
[2929, 1145, 3202, 1320]
[3065, 1145, 3338, 1320]
[3201, 1145, 3474, 1320]
[3337, 1145, 3610, 1320]
