['x', 'y', 'a', 'b']
[314, 224, 633, 374]
[473, 224, 792, 374]
[632, 223, 951, 374]
[791, 223, 1110, 374]
[950, 223, 1269, 374]
[1109, 224, 1428, 375]
[1268, 223, 1587, 375]
[1427, 223, 1746, 373]
[1586, 223, 1905, 373]
[1745, 222, 2064, 372]
[1904, 222, 2223, 372]
[2063, 222, 2382, 372]
[2222, 222, 2541, 372]
[2381, 221, 2700, 372]
[2540, 221, 2859, 371]
[2699, 221, 3018, 372]
[2858, 221, 3177, 372]
[3017, 221, 3336, 371]
[3176, 222, 3495, 371]
[314, 458, 633, 610]
[473, 458, 792, 610]
[632, 458, 951, 609]
[791, 458, 1110, 609]
[950, 458, 1269, 609]
[1109, 457, 1428, 609]
[1268, 457, 1587, 609]
[1427, 457, 1746, 609]
[1586, 457, 1905, 608]
[1745, 456, 2064, 608]
[1904, 456, 2223, 608]
[2063, 456, 2382, 608]
[2222, 456, 2541, 607]
[2381, 456, 2700, 607]
[2540, 456, 2859, 607]
[2699, 456, 3018, 607]
[2858, 456, 3177, 607]
[3017, 456, 3336, 607]
[3176, 456, 3495, 607]
[314, 694, 633, 846]
[473, 694, 792, 846]
[632, 694, 951, 846]
[791, 694, 1110, 846]
[950, 694, 1269, 846]
[1109, 693, 1428, 845]
[1268, 693, 1587, 845]
[1427, 693, 1746, 845]
[1586, 693, 1905, 845]
[1745, 693, 2064, 845]
[1904, 692, 2223, 845]
[2063, 692, 2382, 844]
[2222, 692, 2541, 844]
[2381, 692, 2700, 844]
[2540, 692, 2859, 844]
[2699, 692, 3018, 844]
[2858, 692, 3177, 844]
[3017, 692, 3336, 844]
[3176, 692, 3495, 843]
[314, 930, 633, 1080]
[473, 930, 792, 1080]
[632, 930, 951, 1080]
[791, 930, 1110, 1080]
[950, 930, 1269, 1080]
[1109, 930, 1428, 1080]
[1268, 929, 1587, 1080]
[1427, 929, 1746, 1079]
[1586, 929, 1905, 1079]
[1745, 929, 2064, 1079]
[1904, 929, 2223, 1079]
[2063, 929, 2382, 1079]
[2222, 929, 2541, 1079]
[2381, 929, 2700, 1078]
[2540, 929, 2859, 1078]
[2699, 928, 3018, 1078]
[2858, 928, 3177, 1078]
[3017, 928, 3336, 1078]
[3176, 928, 3495, 1078]
[314, 1164, 633, 1316]
[473, 1164, 792, 1316]
[632, 1164, 951, 1315]
[791, 1164, 1110, 1315]
[950, 1164, 1269, 1315]
[1109, 1164, 1428, 1315]
[1268, 1163, 1587, 1314]
[1427, 1163, 1746, 1314]
[1586, 1163, 1905, 1314]
[1745, 1163, 2064, 1314]
[1904, 1163, 2223, 1314]
[2063, 1163, 2382, 1313]
[2222, 1162, 2541, 1313]
[2381, 1162, 2700, 1313]
[2540, 1162, 2859, 1313]
[2699, 1162, 3018, 1313]
[2858, 1162, 3177, 1313]
[3017, 1162, 3336, 1313]
[3176, 1162, 3495, 1313]
