['x', 'y', 'a', 'b']
[229, 264, 433, 430]
[331, 264, 535, 430]
[433, 264, 637, 430]
[535, 264, 739, 430]
[637, 264, 841, 431]
[739, 264, 943, 431]
[841, 265, 1045, 431]
[943, 265, 1147, 431]
[1045, 265, 1249, 431]
[1147, 265, 1351, 431]
[1249, 265, 1453, 431]
[1351, 265, 1555, 431]
[1453, 265, 1657, 431]
[1555, 265, 1759, 431]
[1657, 265, 1861, 431]
[1759, 265, 1963, 433]
[1861, 265, 2065, 433]
[1963, 265, 2167, 433]
[2065, 265, 2269, 433]
[2167, 265, 2371, 433]
[2269, 265, 2473, 434]
[2371, 265, 2575, 434]
[2473, 267, 2677, 435]
[2575, 268, 2779, 436]
[2677, 268, 2881, 438]
[2779, 269, 2983, 439]
[2881, 270, 3085, 440]
[2983, 273, 3187, 443]
[3085, 276, 3289, 445]
[3187, 278, 3391, 451]
[3289, 283, 3493, 454]
[229, 477, 433, 645]
[331, 477, 535, 645]
[433, 478, 637, 645]
[535, 478, 739, 645]
[637, 478, 841, 645]
[739, 478, 943, 646]
[841, 479, 1045, 648]
[943, 479, 1147, 648]
[1045, 480, 1249, 649]
[1147, 480, 1351, 649]
[1249, 480, 1453, 649]
[1351, 480, 1555, 649]
[1453, 480, 1657, 649]
[1555, 480, 1759, 649]
[1657, 480, 1861, 650]
[1759, 482, 1963, 650]
[1861, 482, 2065, 650]
[1963, 482, 2167, 650]
[2065, 482, 2269, 651]
[2167, 482, 2371, 651]
[2269, 483, 2473, 653]
[2371, 483, 2575, 654]
[2473, 483, 2677, 654]
[2575, 484, 2779, 654]
[2677, 483, 2881, 654]
[2779, 483, 2983, 655]
[2881, 487, 3085, 655]
[2983, 487, 3187, 655]
[3085, 488, 3289, 656]
[3187, 489, 3391, 658]
[3289, 492, 3493, 659]
[229, 690, 433, 858]
[331, 692, 535, 858]
[433, 692, 637, 859]
[535, 692, 739, 860]
[637, 692, 841, 860]
[739, 693, 943, 860]
[841, 693, 1045, 861]
[943, 694, 1147, 861]
[1045, 694, 1249, 863]
[1147, 695, 1351, 864]
[1249, 697, 1453, 865]
[1351, 697, 1555, 865]
[1453, 697, 1657, 865]
[1555, 698, 1759, 866]
[1657, 698, 1861, 868]
[1759, 699, 1963, 869]
[1861, 699, 2065, 869]
[1963, 699, 2167, 870]
[2065, 700, 2269, 870]
[2167, 700, 2371, 871]
[2269, 702, 2473, 871]
[2371, 702, 2575, 873]
[2473, 703, 2677, 873]
[2575, 703, 2779, 873]
[2677, 703, 2881, 873]
[2779, 703, 2983, 873]
[2881, 703, 3085, 873]
[2983, 703, 3187, 873]
[3085, 703, 3289, 871]
[3187, 703, 3391, 870]
[3289, 702, 3493, 869]
[229, 900, 433, 1066]
[331, 902, 535, 1066]
[433, 902, 637, 1069]
[535, 904, 739, 1071]
[637, 904, 841, 1071]
[739, 905, 943, 1074]
[841, 907, 1045, 1075]
[943, 908, 1147, 1076]
[1045, 909, 1249, 1078]
[1147, 910, 1351, 1079]
[1249, 910, 1453, 1080]
[1351, 912, 1555, 1081]
[1453, 913, 1657, 1083]
[1555, 914, 1759, 1084]
[1657, 915, 1861, 1085]
[1759, 917, 1963, 1086]
[1861, 917, 2065, 1088]
[1963, 919, 2167, 1089]
[2065, 919, 2269, 1090]
[2167, 921, 2371, 1090]
[2269, 922, 2473, 1091]
[2371, 923, 2575, 1091]
[2473, 923, 2677, 1091]
[2575, 923, 2779, 1091]
[2677, 922, 2881, 1091]
[2779, 921, 2983, 1090]
[2881, 919, 3085, 1089]
[2983, 917, 3187, 1088]
[3085, 914, 3289, 1085]
[3187, 910, 3391, 1083]
[3289, 909, 3493, 1079]
