['x', 'y', 'a', 'b']
[518, 217, 839, 408]
[678, 217, 999, 403]
[838, 217, 1159, 408]
[998, 222, 1319, 412]
[1158, 227, 1479, 415]
[1318, 234, 1639, 415]
[1478, 237, 1799, 417]
[1638, 237, 1959, 417]
[1798, 237, 2119, 422]
[1958, 239, 2279, 429]
[2118, 247, 2439, 437]
[2278, 256, 2599, 441]
[2438, 264, 2759, 446]
[2598, 266, 2919, 446]
[2758, 266, 3079, 446]
[2918, 266, 3239, 446]
[3078, 266, 3399, 454]
[3238, 276, 3559, 458]
[3398, 283, 3719, 458]
[518, 459, 839, 648]
[678, 458, 999, 641]
[838, 463, 1159, 645]
[998, 465, 1319, 645]
[1158, 467, 1479, 648]
[1318, 470, 1639, 650]
[1478, 472, 1799, 655]
[1638, 475, 1959, 655]
[1798, 477, 2119, 657]
[1958, 477, 2279, 662]
[2118, 480, 2439, 665]
[2278, 487, 2599, 670]
[2438, 489, 2759, 677]
[2598, 497, 2919, 679]
[2758, 501, 3079, 682]
[2918, 504, 3239, 682]
[3078, 504, 3399, 682]
[3238, 504, 3559, 687]
[3398, 509, 3719, 687]
[518, 700, 839, 888]
[678, 700, 999, 886]
[838, 700, 1159, 888]
[998, 703, 1319, 890]
[1158, 705, 1479, 893]
[1318, 708, 1639, 895]
[1478, 710, 1799, 895]
[1638, 713, 1959, 898]
[1798, 715, 2119, 900]
[1958, 717, 2279, 903]
[2118, 720, 2439, 905]
[2278, 722, 2599, 910]
[2438, 727, 2759, 910]
[2598, 730, 2919, 910]
[2758, 734, 3079, 910]
[2918, 737, 3239, 912]
[3078, 737, 3399, 915]
[3238, 739, 3559, 915]
[3398, 739, 3719, 915]
[518, 943, 839, 1126]
[678, 943, 999, 1126]
[838, 946, 1159, 1128]
[998, 948, 1319, 1131]
[1158, 950, 1479, 1131]
[1318, 953, 1639, 1131]
[1478, 953, 1799, 1131]
[1638, 955, 1959, 1133]
[1798, 955, 2119, 1133]
[1958, 958, 2279, 1136]
[2118, 960, 2439, 1136]
[2278, 960, 2599, 1138]
[2438, 963, 2759, 1138]
[2598, 965, 2919, 1140]
[2758, 965, 3079, 1140]
[2918, 967, 3239, 1140]
[3078, 967, 3399, 1143]
[3238, 967, 3559, 1143]
[3398, 970, 3719, 1143]
[518, 1186, 839, 1366]
[678, 1186, 999, 1366]
[838, 1186, 1159, 1366]
[998, 1186, 1319, 1366]
[1158, 1188, 1479, 1366]
[1318, 1188, 1639, 1369]
[1478, 1188, 1799, 1369]
[1638, 1188, 1959, 1369]
[1798, 1191, 2119, 1369]
[1958, 1191, 2279, 1369]
[2118, 1191, 2439, 1369]
[2278, 1193, 2599, 1369]
[2438, 1193, 2759, 1369]
[2598, 1193, 2919, 1369]
[2758, 1196, 3079, 1371]
[2918, 1196, 3239, 1371]
[3078, 1196, 3399, 1371]
[3238, 1198, 3559, 1373]
[3398, 1198, 3719, 1373]
[518, 1424, 839, 1609]
[678, 1426, 999, 1611]
[838, 1429, 1159, 1611]
[998, 1429, 1319, 1611]
[1158, 1426, 1479, 1611]
[1318, 1426, 1639, 1609]
[1478, 1426, 1799, 1609]
[1638, 1426, 1959, 1609]
[1798, 1426, 2119, 1609]
[1958, 1426, 2279, 1609]
[2118, 1426, 2439, 1606]
[2278, 1426, 2599, 1606]
[2438, 1426, 2759, 1606]
[2598, 1426, 2919, 1606]
[2758, 1429, 3079, 1606]
[2918, 1429, 3239, 1604]
[3078, 1426, 3399, 1604]
[3238, 1426, 3559, 1602]
[3398, 1426, 3719, 1602]
[518, 1662, 839, 1849]
[678, 1669, 999, 1849]
[838, 1669, 1159, 1849]
[998, 1669, 1319, 1847]
[1158, 1669, 1479, 1847]
[1318, 1666, 1639, 1844]
[1478, 1666, 1799, 1844]
[1638, 1666, 1959, 1842]
[1798, 1664, 2119, 1842]
[1958, 1664, 2279, 1839]
[2118, 1662, 2439, 1839]
[2278, 1662, 2599, 1837]
[2438, 1662, 2759, 1837]
[2598, 1662, 2919, 1837]
[2758, 1659, 3079, 1837]
[2918, 1659, 3239, 1835]
[3078, 1657, 3399, 1832]
[3238, 1657, 3559, 1832]
[3398, 1657, 3719, 1830]
[518, 1933, 839, 2111]
[678, 1936, 999, 2121]
[838, 1933, 1159, 2119]
[998, 1931, 1319, 2116]
[1158, 1928, 1479, 2114]
[1318, 1926, 1639, 2109]
[1478, 1924, 1799, 2104]
[1638, 1924, 1959, 2104]
[1798, 1921, 2119, 2102]
[1958, 1919, 2279, 2102]
[2118, 1919, 2439, 2099]
[2278, 1919, 2599, 2097]
[2438, 1916, 2759, 2094]
[2598, 1914, 2919, 2094]
[2758, 1914, 3079, 2092]
[2918, 1914, 3239, 2092]
[3078, 1916, 3399, 2092]
[3238, 1914, 3559, 2092]
[3398, 1914, 3719, 2089]
[518, 2140, 839, 2337]
[678, 2152, 999, 2337]
[838, 2147, 1159, 2335]
[998, 2142, 1319, 2330]
[1158, 2137, 1479, 2325]
[1318, 2137, 1639, 2322]
[1478, 2137, 1799, 2320]
[1638, 2137, 1959, 2320]
[1798, 2135, 2119, 2320]
[1958, 2135, 2279, 2320]
[2118, 2132, 2439, 2318]
[2278, 2130, 2599, 2315]
[2438, 2128, 2759, 2313]
[2598, 2128, 2919, 2313]
[2758, 2125, 3079, 2310]
[2918, 2123, 3239, 2308]
[3078, 2120, 3399, 2308]
[3238, 2115, 3559, 2301]
[3398, 2115, 3719, 2296]
