['x', 'y', 'a', 'b']
[376, 224, 694, 401]
[535, 224, 853, 398]
[694, 225, 1012, 399]
[853, 228, 1171, 399]
[1012, 229, 1330, 402]
[1171, 231, 1489, 403]
[1330, 232, 1648, 405]
[1489, 234, 1807, 406]
[1648, 235, 1966, 409]
[1807, 235, 2125, 411]
[1966, 235, 2284, 412]
[2125, 240, 2443, 415]
[2284, 242, 2602, 418]
[2443, 245, 2761, 421]
[2602, 248, 2920, 424]
[2761, 253, 3079, 424]
[2920, 254, 3238, 424]
[3079, 254, 3397, 425]
[3238, 254, 3556, 425]
[376, 452, 694, 629]
[535, 452, 853, 629]
[694, 454, 1012, 631]
[853, 455, 1171, 632]
[1012, 455, 1330, 632]
[1171, 458, 1489, 634]
[1330, 458, 1648, 634]
[1489, 460, 1807, 635]
[1648, 462, 1966, 637]
[1807, 462, 2125, 637]
[1966, 464, 2284, 638]
[2125, 465, 2443, 640]
[2284, 467, 2602, 640]
[2443, 468, 2761, 641]
[2602, 471, 2920, 642]
[2761, 471, 3079, 642]
[2920, 471, 3238, 642]
[3079, 473, 3397, 644]
[3238, 474, 3556, 645]
[376, 683, 694, 860]
[535, 684, 853, 860]
[694, 684, 1012, 860]
[853, 685, 1171, 860]
[1012, 685, 1330, 860]
[1171, 685, 1489, 861]
[1330, 687, 1648, 861]
[1489, 687, 1807, 861]
[1648, 687, 1966, 861]
[1807, 687, 2125, 861]
[1966, 688, 2284, 861]
[2125, 688, 2443, 862]
[2284, 690, 2602, 862]
[2443, 690, 2761, 862]
[2602, 691, 2920, 862]
[2761, 691, 3079, 864]
[2920, 691, 3238, 864]
[3079, 691, 3397, 864]
[3238, 693, 3556, 864]
[376, 911, 694, 1090]
[535, 914, 853, 1090]
[694, 916, 1012, 1090]
[853, 917, 1171, 1090]
[1012, 917, 1330, 1090]
[1171, 917, 1489, 1088]
[1330, 917, 1648, 1088]
[1489, 916, 1807, 1088]
[1648, 916, 1966, 1087]
[1807, 916, 2125, 1087]
[1966, 916, 2284, 1085]
[2125, 916, 2443, 1085]
[2284, 916, 2602, 1084]
[2443, 916, 2761, 1084]
[2602, 916, 2920, 1084]
[2761, 914, 3079, 1084]
[2920, 914, 3238, 1084]
[3079, 914, 3397, 1082]
[3238, 913, 3556, 1082]
