['x', 'y', 'a', 'b']
[306, 223, 551, 404]
[428, 223, 673, 399]
[550, 224, 795, 398]
[672, 226, 917, 399]
[794, 227, 1039, 399]
[916, 227, 1161, 402]
[1038, 229, 1283, 402]
[1160, 230, 1405, 405]
[1282, 231, 1527, 405]
[1404, 231, 1649, 407]
[1526, 233, 1771, 407]
[1648, 233, 1893, 408]
[1770, 233, 2015, 410]
[1892, 233, 2137, 411]
[2014, 236, 2259, 412]
[2136, 239, 2381, 414]
[2258, 240, 2503, 417]
[2380, 243, 2625, 418]
[2502, 244, 2747, 420]
[2624, 247, 2869, 421]
[2746, 250, 2991, 423]
[2868, 252, 3113, 424]
[2990, 252, 3235, 424]
[3112, 252, 3357, 424]
[3234, 252, 3479, 424]
[3356, 252, 3601, 425]
[306, 455, 551, 636]
[428, 455, 673, 635]
[550, 457, 795, 635]
[672, 457, 917, 635]
[794, 458, 1039, 636]
[916, 459, 1161, 638]
[1038, 459, 1283, 638]
[1160, 461, 1405, 639]
[1282, 462, 1527, 639]
[1404, 464, 1649, 639]
[1526, 464, 1771, 640]
[1648, 464, 1893, 640]
[1770, 465, 2015, 640]
[1892, 465, 2137, 640]
[2014, 467, 2259, 642]
[2136, 468, 2381, 643]
[2258, 470, 2503, 643]
[2380, 471, 2625, 643]
[2502, 473, 2747, 645]
[2624, 473, 2869, 645]
[2746, 473, 2991, 646]
[2868, 474, 3113, 646]
[2990, 474, 3235, 646]
[3112, 475, 3357, 646]
[3234, 475, 3479, 648]
[3356, 475, 3601, 648]
[306, 692, 551, 870]
[428, 692, 673, 871]
[550, 692, 795, 871]
[672, 692, 917, 871]
[794, 692, 1039, 870]
[916, 693, 1161, 870]
[1038, 693, 1283, 870]
[1160, 693, 1405, 870]
[1282, 693, 1527, 870]
[1404, 695, 1649, 870]
[1526, 695, 1771, 870]
[1648, 695, 1893, 870]
[1770, 695, 2015, 870]
[1892, 695, 2137, 870]
[2014, 695, 2259, 870]
[2136, 695, 2381, 870]
[2258, 696, 2503, 870]
[2380, 696, 2625, 870]
[2502, 696, 2747, 870]
[2624, 696, 2869, 870]
[2746, 696, 2991, 870]
[2868, 698, 3113, 870]
[2990, 698, 3235, 871]
[3112, 698, 3357, 871]
[3234, 698, 3479, 871]
[3356, 699, 3601, 871]
[306, 924, 551, 1105]
[428, 927, 673, 1105]
[550, 929, 795, 1105]
[672, 929, 917, 1105]
[794, 929, 1039, 1105]
[916, 929, 1161, 1104]
[1038, 929, 1283, 1104]
[1160, 929, 1405, 1104]
[1282, 929, 1527, 1102]
[1404, 927, 1649, 1102]
[1526, 927, 1771, 1101]
[1648, 927, 1893, 1101]
[1770, 927, 2015, 1099]
[1892, 927, 2137, 1099]
[2014, 926, 2259, 1099]
[2136, 926, 2381, 1098]
[2258, 926, 2503, 1098]
[2380, 926, 2625, 1098]
[2502, 926, 2747, 1096]
[2624, 926, 2869, 1096]
[2746, 924, 2991, 1096]
[2868, 924, 3113, 1096]
[2990, 923, 3235, 1096]
[3112, 923, 3357, 1095]
[3234, 923, 3479, 1094]
[3356, 923, 3601, 1094]
[306, 1155, 551, 1339]
[428, 1158, 673, 1339]
[550, 1158, 795, 1339]
[672, 1157, 917, 1339]
[794, 1155, 1039, 1338]
[916, 1155, 1161, 1336]
[1038, 1154, 1283, 1333]
[1160, 1154, 1405, 1332]
[1282, 1152, 1527, 1330]
[1404, 1152, 1649, 1327]
[1526, 1151, 1771, 1327]
[1648, 1149, 1893, 1327]
[1770, 1149, 2015, 1327]
[1892, 1149, 2137, 1326]
[2014, 1149, 2259, 1325]
[2136, 1148, 2381, 1323]
[2258, 1148, 2503, 1323]
[2380, 1148, 2625, 1323]
[2502, 1146, 2747, 1322]
[2624, 1146, 2869, 1322]
[2746, 1145, 2991, 1320]
[2868, 1145, 3113, 1320]
[2990, 1145, 3235, 1319]
[3112, 1145, 3357, 1320]
[3234, 1145, 3479, 1320]
[3356, 1145, 3601, 1319]
