['x', 'y', 'a', 'b']
[513, 207, 784, 389]
[648, 207, 919, 389]
[783, 207, 1054, 389]
[918, 207, 1189, 389]
[1053, 206, 1324, 389]
[1188, 206, 1459, 389]
[1323, 206, 1594, 391]
[1458, 206, 1729, 391]
[1593, 206, 1864, 389]
[1728, 206, 1999, 389]
[1863, 204, 2134, 389]
[1998, 204, 2269, 388]
[2133, 203, 2404, 388]
[2268, 201, 2539, 386]
[2403, 201, 2674, 386]
[2538, 201, 2809, 386]
[2673, 203, 2944, 388]
[2808, 204, 3079, 391]
[2943, 206, 3214, 394]
[3078, 209, 3349, 398]
[3213, 214, 3484, 404]
[3348, 218, 3619, 418]
[513, 451, 784, 633]
[648, 451, 919, 634]
[783, 451, 1054, 634]
[918, 451, 1189, 634]
[1053, 451, 1324, 634]
[1188, 451, 1459, 634]
[1323, 451, 1594, 634]
[1458, 453, 1729, 634]
[1593, 451, 1864, 634]
[1728, 451, 1999, 634]
[1863, 451, 2134, 634]
[1998, 450, 2269, 634]
[2133, 450, 2404, 634]
[2268, 450, 2539, 634]
[2403, 450, 2674, 634]
[2538, 450, 2809, 634]
[2673, 450, 2944, 636]
[2808, 450, 3079, 636]
[2943, 451, 3214, 639]
[3078, 454, 3349, 642]
[3213, 456, 3484, 645]
[3348, 460, 3619, 650]
[513, 693, 784, 876]
[648, 693, 919, 876]
[783, 693, 1054, 876]
[918, 695, 1189, 876]
[1053, 695, 1324, 878]
[1188, 695, 1459, 878]
[1323, 696, 1594, 878]
[1458, 696, 1729, 879]
[1593, 696, 1864, 879]
[1728, 696, 1999, 881]
[1863, 696, 2134, 881]
[1998, 696, 2269, 882]
[2133, 698, 2404, 882]
[2268, 698, 2539, 882]
[2403, 698, 2674, 884]
[2538, 698, 2809, 885]
[2673, 699, 2944, 885]
[2808, 699, 3079, 885]
[2943, 701, 3214, 885]
[3078, 701, 3349, 887]
[3213, 702, 3484, 887]
[3348, 704, 3619, 885]
[513, 932, 784, 1112]
[648, 934, 919, 1114]
[783, 935, 1054, 1115]
[918, 935, 1189, 1118]
[1053, 937, 1324, 1118]
[1188, 938, 1459, 1120]
[1323, 940, 1594, 1121]
[1458, 940, 1729, 1124]
[1593, 941, 1864, 1124]
[1728, 941, 1999, 1126]
[1863, 944, 2134, 1128]
[1998, 944, 2269, 1129]
[2133, 946, 2404, 1131]
[2268, 946, 2539, 1132]
[2403, 948, 2674, 1132]
[2538, 949, 2809, 1134]
[2673, 949, 2944, 1134]
[2808, 949, 3079, 1134]
[2943, 949, 3214, 1134]
[3078, 948, 3349, 1132]
[3213, 946, 3484, 1129]
[3348, 941, 3619, 1129]
[513, 1171, 784, 1354]
[648, 1171, 919, 1357]
[783, 1173, 1054, 1357]
[918, 1176, 1189, 1360]
[1053, 1177, 1324, 1364]
[1188, 1179, 1459, 1365]
[1323, 1180, 1594, 1368]
[1458, 1183, 1729, 1370]
[1593, 1185, 1864, 1373]
[1728, 1187, 1999, 1374]
[1863, 1188, 2134, 1377]
[1998, 1191, 2269, 1379]
[2133, 1193, 2404, 1380]
[2268, 1194, 2539, 1382]
[2403, 1196, 2674, 1383]
[2538, 1197, 2809, 1383]
[2673, 1197, 2944, 1383]
[2808, 1196, 3079, 1383]
[2943, 1194, 3214, 1382]
[3078, 1190, 3349, 1380]
[3213, 1183, 3484, 1376]
[3348, 1174, 3619, 1371]
