['x', 'y', 'a', 'b']
[257, 145, 556, 306]
[406, 145, 705, 307]
[555, 145, 854, 307]
[704, 145, 1003, 307]
[853, 145, 1152, 309]
[1002, 145, 1301, 309]
[1151, 145, 1450, 307]
[1300, 147, 1599, 307]
[1449, 145, 1748, 307]
[1598, 145, 1897, 307]
[1747, 145, 2046, 307]
[1896, 145, 2195, 307]
[2045, 145, 2344, 307]
[2194, 145, 2493, 309]
[2343, 147, 2642, 311]
[2492, 148, 2791, 314]
[2641, 150, 2940, 319]
[2790, 155, 3089, 328]
[2939, 160, 3238, 340]
[3088, 169, 3387, 357]
[3237, 184, 3536, 357]
[257, 401, 556, 563]
[406, 401, 705, 563]
[555, 401, 854, 565]
[704, 402, 1003, 565]
[853, 401, 1152, 565]
[1002, 401, 1301, 567]
[1151, 401, 1450, 567]
[1300, 401, 1599, 567]
[1449, 401, 1748, 567]
[1598, 401, 1897, 567]
[1747, 401, 2046, 567]
[1896, 402, 2195, 567]
[2045, 402, 2344, 568]
[2194, 402, 2493, 568]
[2343, 404, 2642, 570]
[2492, 406, 2791, 573]
[2641, 407, 2940, 577]
[2790, 411, 3089, 580]
[2939, 414, 3238, 587]
[3088, 421, 3387, 599]
[3237, 430, 3536, 599]
[257, 656, 556, 821]
[406, 658, 705, 821]
[555, 658, 854, 822]
[704, 660, 1003, 822]
[853, 660, 1152, 822]
[1002, 660, 1301, 824]
[1151, 661, 1450, 826]
[1300, 661, 1599, 827]
[1449, 661, 1748, 827]
[1598, 661, 1897, 827]
[1747, 663, 2046, 827]
[1896, 663, 2195, 829]
[2045, 663, 2344, 829]
[2194, 663, 2493, 831]
[2343, 663, 2642, 831]
[2492, 665, 2791, 833]
[2641, 667, 2940, 834]
[2790, 668, 3089, 836]
[2939, 672, 3238, 838]
[3088, 675, 3387, 841]
[3237, 678, 3536, 841]
[257, 912, 556, 1073]
[406, 912, 705, 1073]
[555, 914, 854, 1075]
[704, 915, 1003, 1076]
[853, 915, 1152, 1078]
[1002, 915, 1301, 1080]
[1151, 917, 1450, 1080]
[1300, 919, 1599, 1081]
[1449, 921, 1748, 1081]
[1598, 921, 1897, 1085]
[1747, 922, 2046, 1087]
[1896, 922, 2195, 1088]
[2045, 924, 2344, 1088]
[2194, 926, 2493, 1092]
[2343, 926, 2642, 1092]
[2492, 927, 2791, 1092]
[2641, 929, 2940, 1092]
[2790, 929, 3089, 1092]
[2939, 929, 3238, 1090]
[3088, 929, 3387, 1088]
[3237, 929, 3536, 1087]
[257, 1161, 556, 1322]
[406, 1163, 705, 1325]
[555, 1164, 854, 1329]
[704, 1166, 1003, 1332]
[853, 1168, 1152, 1332]
[1002, 1169, 1301, 1337]
[1151, 1173, 1450, 1339]
[1300, 1175, 1599, 1341]
[1449, 1176, 1748, 1342]
[1598, 1178, 1897, 1346]
[1747, 1180, 2046, 1347]
[1896, 1181, 2195, 1349]
[2045, 1183, 2344, 1351]
[2194, 1185, 2493, 1351]
[2343, 1186, 2642, 1351]
[2492, 1186, 2791, 1351]
[2641, 1185, 2940, 1351]
[2790, 1181, 3089, 1349]
[2939, 1176, 3238, 1347]
[3088, 1171, 3387, 1342]
[3237, 1171, 3536, 1335]
[257, 1408, 556, 1574]
[406, 1412, 705, 1577]
[555, 1415, 854, 1581]
[704, 1417, 1003, 1584]
[853, 1420, 1152, 1588]
[1002, 1423, 1301, 1589]
[1151, 1425, 1450, 1595]
[1300, 1429, 1599, 1598]
[1449, 1432, 1748, 1601]
[1598, 1434, 1897, 1605]
[1747, 1437, 2046, 1606]
[1896, 1440, 2195, 1610]
[2045, 1444, 2344, 1613]
[2194, 1446, 2493, 1613]
[2343, 1447, 2642, 1613]
[2492, 1446, 2791, 1613]
[2641, 1442, 2940, 1612]
[2790, 1435, 3089, 1610]
[2939, 1427, 3238, 1605]
[3088, 1413, 3387, 1598]
[3237, 1413, 3536, 1584]
