['x', 'y', 'a', 'b']
[730, 159, 953, 346]
[841, 159, 1064, 346]
[952, 157, 1175, 344]
[1063, 157, 1286, 344]
[1174, 157, 1397, 344]
[1285, 157, 1508, 344]
[1396, 157, 1619, 344]
[1507, 156, 1730, 344]
[1618, 154, 1841, 344]
[1729, 152, 1952, 342]
[1840, 150, 2063, 342]
[1951, 148, 2174, 340]
[2062, 148, 2285, 338]
[2173, 146, 2396, 336]
[2284, 146, 2507, 334]
[2395, 146, 2618, 333]
[2506, 146, 2729, 336]
[2617, 148, 2840, 338]
[2728, 150, 2951, 344]
[2839, 156, 3062, 348]
[2950, 159, 3173, 359]
[3061, 167, 3284, 379]
[3172, 178, 3395, 383]
[3283, 200, 3506, 383]
[730, 412, 953, 599]
[841, 410, 1064, 599]
[952, 410, 1175, 599]
[1063, 410, 1286, 599]
[1174, 410, 1397, 599]
[1285, 410, 1508, 597]
[1396, 410, 1619, 597]
[1507, 410, 1730, 597]
[1618, 409, 1841, 595]
[1729, 407, 1952, 595]
[1840, 407, 2063, 593]
[1951, 405, 2174, 593]
[2062, 403, 2285, 591]
[2173, 401, 2396, 591]
[2284, 401, 2507, 589]
[2395, 401, 2618, 589]
[2506, 401, 2729, 591]
[2617, 401, 2840, 595]
[2728, 403, 2951, 597]
[2839, 407, 3062, 601]
[2950, 410, 3173, 608]
[3061, 416, 3284, 619]
[3172, 425, 3395, 623]
[3283, 439, 3506, 623]
[730, 663, 953, 848]
[841, 663, 1064, 848]
[952, 663, 1175, 848]
[1063, 663, 1286, 848]
[1174, 662, 1397, 848]
[1285, 662, 1508, 848]
[1396, 662, 1619, 848]
[1507, 660, 1730, 848]
[1618, 660, 1841, 848]
[1729, 660, 1952, 848]
[1840, 660, 2063, 848]
[1951, 660, 2174, 848]
[2062, 658, 2285, 848]
[2173, 658, 2396, 848]
[2284, 658, 2507, 848]
[2395, 658, 2618, 848]
[2506, 658, 2729, 848]
[2617, 660, 2840, 850]
[2728, 660, 2951, 852]
[2839, 662, 3062, 854]
[2950, 665, 3173, 857]
[3061, 667, 3284, 861]
[3172, 673, 3395, 863]
[3283, 682, 3506, 863]
[730, 913, 953, 1095]
[841, 913, 1064, 1095]
[952, 913, 1175, 1095]
[1063, 913, 1286, 1097]
[1174, 913, 1397, 1097]
[1285, 913, 1508, 1097]
[1396, 913, 1619, 1099]
[1507, 915, 1730, 1099]
[1618, 915, 1841, 1099]
[1729, 915, 1952, 1099]
[1840, 915, 2063, 1101]
[1951, 915, 2174, 1101]
[2062, 915, 2285, 1103]
[2173, 916, 2396, 1103]
[2284, 916, 2507, 1103]
[2395, 916, 2618, 1105]
[2506, 916, 2729, 1105]
[2617, 916, 2840, 1105]
[2728, 918, 2951, 1105]
[2839, 918, 3062, 1105]
[2950, 920, 3173, 1105]
[3061, 920, 3284, 1105]
[3172, 922, 3395, 1103]
[3283, 924, 3506, 1103]
[730, 1156, 953, 1343]
[841, 1158, 1064, 1345]
[952, 1158, 1175, 1345]
[1063, 1160, 1286, 1347]
[1174, 1160, 1397, 1348]
[1285, 1162, 1508, 1350]
[1396, 1164, 1619, 1352]
[1507, 1164, 1730, 1352]
[1618, 1166, 1841, 1354]
[1729, 1166, 1952, 1356]
[1840, 1168, 2063, 1358]
[1951, 1170, 2174, 1360]
[2062, 1170, 2285, 1360]
[2173, 1170, 2396, 1360]
[2284, 1171, 2507, 1362]
[2395, 1171, 2618, 1362]
[2506, 1173, 2729, 1362]
[2617, 1171, 2840, 1362]
[2728, 1171, 2951, 1362]
[2839, 1170, 3062, 1360]
[2950, 1168, 3173, 1358]
[3061, 1164, 3284, 1354]
[3172, 1162, 3395, 1350]
[3283, 1162, 3506, 1343]
[730, 1408, 953, 1596]
[841, 1409, 1064, 1600]
[952, 1411, 1175, 1602]
[1063, 1411, 1286, 1602]
[1174, 1413, 1397, 1603]
[1285, 1413, 1508, 1603]
[1396, 1415, 1619, 1607]
[1507, 1419, 1730, 1607]
[1618, 1421, 1841, 1609]
[1729, 1423, 1952, 1613]
[1840, 1423, 2063, 1613]
[1951, 1424, 2174, 1615]
[2062, 1426, 2285, 1618]
[2173, 1428, 2396, 1618]
[2284, 1428, 2507, 1620]
[2395, 1430, 2618, 1620]
[2506, 1430, 2729, 1620]
[2617, 1428, 2840, 1618]
[2728, 1424, 2951, 1618]
[2839, 1421, 3062, 1615]
[2950, 1415, 3173, 1611]
[3061, 1402, 3284, 1605]
[3172, 1400, 3395, 1598]
[3283, 1400, 3506, 1583]
[730, 1666, 953, 1825]
[841, 1668, 1064, 1858]
[952, 1668, 1175, 1860]
[1063, 1670, 1286, 1860]
[1174, 1672, 1397, 1862]
[1285, 1674, 1508, 1864]
[1396, 1676, 1619, 1866]
[1507, 1677, 1730, 1868]
[1618, 1679, 1841, 1870]
[1729, 1679, 1952, 1871]
[1840, 1681, 2063, 1873]
[1951, 1683, 2174, 1875]
[2062, 1685, 2285, 1877]
[2173, 1687, 2396, 1877]
[2284, 1689, 2507, 1877]
[2395, 1689, 2618, 1877]
[2506, 1687, 2729, 1877]
[2617, 1683, 2840, 1875]
[2728, 1679, 2951, 1873]
[2839, 1672, 3062, 1870]
[2950, 1662, 3173, 1864]
[3061, 1644, 3284, 1856]
[3172, 1640, 3395, 1845]
[3283, 1640, 3506, 1821]
